k,L,Step,Agent,Horizon,CurrentPos,Selected_Action,Q_Current,Pos_Up,Q_Up,Pos_Down,Q_Down,Pos_Left,Q_Left,Pos_Right,Q_Right
2,500,0,0,1,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)","[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]"
2,500,0,0,2,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)","[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]"
2,500,0,1,1,"(3, 7)",0,"[0, 0, 0, 0, 0]","(3, 6)","[0, 0, 0, 0, 0]","(3, 8)","[0, 0, 0, 0, 0]","(2, 7)","[0, 0, 0, 0, 0]","(4, 7)","[0, 0, 0, 0, 0]"
2,500,0,1,2,"(3, 7)",0,"[0, 0, 0, 0, 0]","(3, 6)","[0, 0, 0, 0, 0]","(3, 8)","[0, 0, 0, 0, 0]","(2, 7)","[0, 0, 0, 0, 0]","(4, 7)","[0, 0, 0, 0, 0]"
2,500,0,2,1,"(8, 8)",0,"[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(8, 9)","[0, 0, 0, 0, 0]","(7, 8)","[0, 0, 0, 0, 0]","(9, 8)","[0, 0, 0, 0, 0]"
2,500,0,2,2,"(8, 8)",0,"[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(8, 9)","[0, 0, 0, 0, 0]","(7, 8)","[0, 0, 0, 0, 0]","(9, 8)","[0, 0, 0, 0, 0]"
2,500,0,3,1,"(4, 6)",0,"[0, 0, 0, 0, 0]","(4, 5)","[0, 0, 0, 0, 0]","(4, 7)","[0, 0, 0, 0, 0]","(3, 6)","[0, 0, 0, 0, 0]","(5, 6)","[0, 0, 0, 0, 0]"
2,500,0,3,2,"(4, 6)",0,"[0, 0, 0, 0, 0]","(4, 5)","[0, 0, 0, 0, 0]","(4, 7)","[0, 0, 0, 0, 0]","(3, 6)","[0, 0, 0, 0, 0]","(5, 6)","[0, 0, 0, 0, 0]"
2,500,0,4,1,"(8, 6)",0,"[0, 0, 0, 0, 0]","(8, 5)","[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(7, 6)","[0, 0, 0, 0, 0]","(9, 6)","[0, 0, 0, 0, 0]"
2,500,0,4,2,"(8, 6)",0,"[0, 0, 0, 0, 0]","(8, 5)","[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(7, 6)","[0, 0, 0, 0, 0]","(9, 6)","[0, 0, 0, 0, 0]"
2,500,0,5,1,"(7, 1)",0,"[0, 0, 0, 0, 0]","(7, 0)","[0, 0, 0, 0, 0]","(7, 2)","[0, 0, 0, 0, 0]","(6, 1)","[0, 0, 0, 0, 0]","(8, 1)","[0, 0, 0, 0, 0]"
2,500,0,5,2,"(7, 1)",0,"[0, 0, 0, 0, 0]","(7, 0)","[0, 0, 0, 0, 0]","(7, 2)","[0, 0, 0, 0, 0]","(6, 1)","[0, 0, 0, 0, 0]","(8, 1)","[0, 0, 0, 0, 0]"
2,500,1,0,1,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)","[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]"
2,500,1,0,2,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)","[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]"
2,500,1,1,1,"(3, 7)",0,"[0, 0, 0, 0, 0]","(3, 6)","[0, 0, 0, 0, 0]","(3, 8)","[0, 0, 0, 0, 0]","(2, 7)","[0, 0, 0, 0, 0]","(4, 7)","[0, 0, 0, 0, 0]"
