k,L,Step,Agent,Horizon,CurrentPos,Selected_Action,Q_Current,Pos_Up,Q_Up,Pos_Down,Q_Down,Pos_Left,Q_Left,Pos_Right,Q_Right
4,100,0,0,1,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)","[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]"
4,100,0,0,2,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)","[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]"
4,100,0,0,3,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)","[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]"
4,100,0,0,4,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)","[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]"
4,100,0,1,1,"(6, 7)",1,[43.12670627 45.05030678 43.02758031 41.91845365 42.22739068],"(6, 6)","[0, 0, 0, 0, 0]","(6, 8)","[0, 0, 0, 0, 0]","(5, 7)","[0, 0, 0, 0, 0]","(7, 7)",[41.58454455 42.74569918 40.41703143 39.415477   40.25002176]
4,100,0,1,2,"(6, 7)",1,[43.70307493 45.1993562  43.25960164 42.1031568  42.40216703],"(6, 6)","[0, 0, 0, 0, 0]","(6, 8)","[0, 0, 0, 0, 0]","(5, 7)","[0, 0, 0, 0, 0]","(7, 7)",[41.90576896 42.83528927 40.62801922 39.58233658 40.38785503]
4,100,0,1,3,"(6, 7)",1,[44.08102013 45.580598   43.47716092 42.48635231 42.66299927],"(6, 6)","[0, 0, 0, 0, 0]","(6, 8)","[0, 0, 0, 0, 0]","(5, 7)","[0, 0, 0, 0, 0]","(7, 7)",[42.2329685  43.11681384 40.81916804 39.85178473 40.62794658]
4,100,0,1,4,"(6, 7)",1,[44.57060581 45.97342    43.67742891 42.97876139 43.01922566],"(6, 6)","[0, 0, 0, 0, 0]","(6, 8)","[0, 0, 0, 0, 0]","(5, 7)","[0, 0, 0, 0, 0]","(7, 7)",[42.55615364 43.49926549 40.98805609 40.22218955 40.86085179]
4,100,0,2,1,"(5, 8)",3,[ 34.72077991  33.6857253   35.50149455  35.6500169  -14.95575163],"(5, 7)",[36.13611341 35.21081128 36.54454264 37.44523802 35.89216096],"(5, 9)",[-15.02045894 -15.59978749 -13.40330024  33.99986711  12.20908794],"(4, 8)",[ 33.27722552  32.98731855  34.7730053   35.18057178 -15.45576959],"(6, 8)",[ 34.67946245  35.33849466  37.60155883  35.58401458 -13.48048063]
4,100,0,2,2,"(5, 8)",3,[ 35.01778502  33.81116661  35.58274691  35.83971994 -14.69007286],"(5, 7)",[36.37982717 35.35649791 36.80233617 37.83441007 36.10876889],"(5, 9)",[-14.76196987 -15.47718335 -13.19125994  34.37172574  10.15974888],"(4, 8)",[ 33.80172241  33.15507539  35.13036661  35.32289846 -15.31716346],"(6, 8)",[ 35.11382235  35.51274704  37.65286663  35.73508277 -13.27701593]
4,100,0,2,3,"(5, 8)",3,[ 35.31817111  33.92567661  35.76934149  36.1203265  -14.43432322],"(5, 7)",[36.72044564 35.5958344  37.29275921 38.22553776 36.30815867],"(5, 9)",[-14.51420878 -15.36756426 -12.98627827  34.74545301   7.84325649],"(4, 8)",[ 34.3596275   33.32657744  35.5025655   35.55850169 -15.18976438],"(6, 8)",[ 35.24831421  35.69156386  37.79304804  36.1069221  -13.0815627 ]
4,100,0,2,4,"(5, 8)",3,[ 35.62340263  34.12882918  36.07584114  36.3906184  -14.18980418],"(5, 7)",[37.05741745 35.93337921 37.90780853 38.61863091 36.48820971],"(5, 9)",[-14.27856591 -15.28334314 -12.80300978  35.1210583    5.22972884],"(4, 8)",[ 34.61099683  33.49097332  35.88092795  35.89189841 -15.08578772],"(6, 8)",[ 35.49692193  35.87831043  37.90615232  36.59021174 -12.90888137]
4,100,0,3,1,"(2, 6)",0,"[0, 0, 0, 0, 0]","(2, 5)","[0, 0, 0, 0, 0]","(2, 7)","[0, 0, 0, 0, 0]","(1, 6)","[0, 0, 0, 0, 0]","(3, 6)","[0, 0, 0, 0, 0]"
4,100,0,3,2,"(2, 6)",0,"[0, 0, 0, 0, 0]","(2, 5)","[0, 0, 0, 0, 0]","(2, 7)","[0, 0, 0, 0, 0]","(1, 6)","[0, 0, 0, 0, 0]","(3, 6)","[0, 0, 0, 0, 0]"
4,100,0,3,3,"(2, 6)",0,"[0, 0, 0, 0, 0]","(2, 5)","[0, 0, 0, 0, 0]","(2, 7)","[0, 0, 0, 0, 0]","(1, 6)","[0, 0, 0, 0, 0]","(3, 6)","[0, 0, 0, 0, 0]"
4,100,0,3,4,"(2, 6)",0,"[0, 0, 0, 0, 0]","(2, 5)","[0, 0, 0, 0, 0]","(2, 7)","[0, 0, 0, 0, 0]","(1, 6)","[0, 0, 0, 0, 0]","(3, 6)","[0, 0, 0, 0, 0]"
4,100,0,4,1,"(8, 6)",0,"[0, 0, 0, 0, 0]","(8, 5)","[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(7, 6)","[0, 0, 0, 0, 0]","(9, 6)","[0, 0, 0, 0, 0]"
4,100,0,4,2,"(8, 6)",0,"[0, 0, 0, 0, 0]","(8, 5)","[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(7, 6)","[0, 0, 0, 0, 0]","(9, 6)","[0, 0, 0, 0, 0]"
4,100,0,4,3,"(8, 6)",0,"[0, 0, 0, 0, 0]","(8, 5)","[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(7, 6)","[0, 0, 0, 0, 0]","(9, 6)","[0, 0, 0, 0, 0]"
4,100,0,4,4,"(8, 6)",0,"[0, 0, 0, 0, 0]","(8, 5)","[0, 0, 0, 0, 0]","(8, 7)","[0, 0, 0, 0, 0]","(7, 6)","[0, 0, 0, 0, 0]","(9, 6)","[0, 0, 0, 0, 0]"
