k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
2,50,0,0,0,"(3, 2)",[42.98456385 37.65226545 50.39446763 50.39666052 41.1348907 ],3,"(3, 1)",[42.76463138 42.92820507 43.67002702 -5.7756097  44.86127025],4,"(3, 3)",[46.9348907  46.2246198  45.25624674 46.2246198  50.        ],4,"(2, 2)",[44.32314337 43.25144929 45.2877088  43.14847358 45.2877088 ],2,"(4, 2)",[41.96527229 44.23354978 43.660669   43.53292951 45.17881299],4
2,50,0,0,1,"(3, 2)",[45.01178129 43.7221479  44.55831155 44.59426649 47.094323  ],4,"(3, 1)",[42.76463138 42.92820507 43.67002702 -5.7756097  44.86127025],4,"(3, 3)",[46.9348907  46.2246198  45.25624674 46.2246198  50.        ],4,"(2, 2)",[44.32314337 43.25144929 45.2877088  43.14847358 45.2877088 ],2,"(4, 2)",[41.96527229 44.23354978 43.660669   43.53292951 45.17881299],4
2,50,0,0,2,"(3, 2)",[45.5788796  43.97677815 44.73520916 44.76881573 47.27147   ],4,"(3, 1)",[43.29144338 42.98047337 43.74503163 -5.62052299 45.2877088 ],4,"(3, 3)",[47.094323   46.30513311 45.31365117 46.30513311 50.        ],4,"(2, 2)",[44.64455088 43.28162023 45.71629025 43.22521616 45.71629025],2,"(4, 2)",[42.40960999 44.59658497 43.7043425  43.59270107 45.22761367],4
2,50,0,0,original qtable,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4,"(3, 1)",[45.54485    44.08940147 44.08940149 -4.91059851 47.015     ],4,"(3, 3)",[48.5        47.015      47.01499999 47.015      50.        ],4,"(2, 2)",[45.54484998 44.08940142 47.015      44.08940149 47.015     ],2,"(4, 2)",[45.54485    47.015      44.08940146 44.08940144 47.01495711],1
2,50,0,1,0,"(2, 3)",[43.50887956 50.69903228 41.47147    38.19014722 51.0571582 ],4,"(2, 2)",[44.32314317 43.17081433 45.27759775 43.04055889 45.28770879],4,"(2, 4)",[43.87298826 43.759414   46.41825087 45.74567975 43.77383793],2,"(1, 3)",[42.76462699 -5.72292045 44.86127021 43.01591173 43.66724424],2,"(3, 3)",[47.46829988 46.49399145 50.         46.491031   46.20393235],2
2,50,0,1,1,"(2, 3)",[45.55487896 44.93023513 47.4683     44.31979432 45.16380486],2,"(2, 2)",[44.32314317 43.17081433 45.27759775 43.04055889 45.28770879],4,"(2, 4)",[43.87298826 43.759414   46.41825087 45.74567975 43.77383793],2,"(1, 3)",[42.76462699 -5.72292045 44.86127021 43.01591173 43.66724424],2,"(3, 3)",[47.46829988 46.49399145 50.         46.491031   46.20393235],2
2,50,0,1,2,"(2, 3)",[46.13845996 45.14211422 47.687      44.64082971 45.27827535],2,"(2, 2)",[44.64455066 43.2418302  45.70505576 43.13997002 45.71629024],4,"(2, 4)",[44.39959025 43.86056117 46.45638986 46.14702524 43.86815086],2,"(1, 3)",[43.2914385  -5.56794057 45.28770876 43.0697162  43.75815033],2,"(3, 3)",[47.68699987 46.60443494 50.         46.60114555 46.21825817],2
2,50,0,1,original qtable,"(2, 3)",[47.01499994 45.5448493  48.5        45.54484965 45.54484869],2,"(2, 2)",[45.54484968 44.08939019 46.99958918 44.08932649 47.01499999],4,"(2, 4)",[45.54483189 44.08938296 47.0149875  47.01499986 44.0893787 ],3,"(1, 3)",[45.54484258 -4.91066703 47.01499996 44.08936588 44.08929189],2,"(3, 3)",[48.49999982 47.01499992 50.         47.01048772 47.01499752],2
2,50,1,0,1,"(3, 1)",[40.97443298 42.2253095  43.03364554 -9.79280628 44.68721715],4,"(3, 0)",[ -8.81698109 -47.97151813 -44.71344537  -8.81698109  24.33733291],4,"(3, 2)",[42.36838995 42.70377238 43.71817084 43.55218247 46.54728861],4,"(2, 1)",[ 39.20208957  42.01161135  41.77227142 -47.47347143  31.03518465],1,"(4, 1)",[ 40.11086714  42.73190247  42.16490946 -42.49120752  24.52356189],1
2,50,1,0,2,"(3, 1)",[41.35905923 42.46434078 43.26068853 -8.43762018 44.75031236],4,"(3, 0)",[ -7.35336997 -48.57280342 -46.22138751  -7.35336997  29.48475669],4,"(3, 2)",[42.72939326 42.65473132 43.82859337 43.71138495 46.44143179],4,"(2, 1)",[ 39.66076308  42.04793836  42.18318736 -48.01941821  29.68963384],2,"(4, 1)",[ 40.56871253  43.14764067  42.20757031 -43.75223435  22.5012501 ],1
