k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
2,15,2,0,original qtable,"(3, 2)",[44.3503496  44.10685081 45.01175227 44.74943142 47.47147   ],4,"(3, 1)",[44.38620387 43.91736579 43.89018564 -6.76916663 46.431421  ],4,"(3, 3)",[47.687      46.604435   46.31537499 46.604435   50.        ],4,"(2, 2)",[43.55705293 43.43628278 45.55326287 43.3926387  45.83965053],4,"(4, 2)",[44.39445808 46.15527958 43.90669425 43.8962842  46.55348026],4
2,15,2,1,1,"(3, 4)",[46.14689509 45.28533837 48.30999621 47.92999994  7.94944144],2,"(3, 3)",[47.68699987 46.56392344 50.         46.60114555 46.53220783],2,"(3, 5)",[41.5444889  43.88479805  0.85737499  7.56162018  0.75602251],1,"(2, 4)",[43.37633654 43.77800412 45.61432353 45.85230803 43.75079914],3,"(4, 4)",[47.35999405  8.64499992  1.62901248 49.9999996   0.85737499],3
2,15,2,1,2,"(3, 4)",[46.72099498 45.45678497 48.39999583 48.19999994  4.18849038],2,"(3, 3)",[47.92999985 46.72714994 50.         46.72349506 46.64689759],2,"(3, 5)",[42.07187645 43.99789572  0.45125     3.97980009  0.39790659],1,"(2, 4)",[43.89122738 43.84401027 46.04454626 45.93646614 43.84900804],2,"(4, 4)",[47.89999344  4.54999995  0.85737499 49.99999956  0.45125   ],3
2,15,2,1,original qtable,"(3, 4)",[46.72099498 45.45678497 48.39999583 48.19999994  4.18849038],2,"(3, 3)",[47.92999985 46.72714994 50.         46.72349506 46.64689759],2,"(3, 5)",[42.64820674 44.08937242  0.          0.          0.        ],1,"(2, 4)",[44.95677369 43.99883953 46.91148836 46.57992486 44.00720123],2,"(4, 4)",[48.49999276  0.          0.         49.99999951  0.        ],3
2,15,3,0,0,"(4, 2)",[40.76712047 51.12988162 49.48301757 49.25465874 39.25602491],1,"(4, 1)",[ 40.45717471  44.34325081  42.10896562 -47.91993895  24.1459436 ],1,"(4, 3)",[44.76506391 46.73875939 -0.342      24.75039304 11.50326838],1,"(3, 2)",[42.99326605 43.91365165 44.40032157 44.30026039 46.81992267],4,"(5, 2)",[13.10665607 44.80642993 42.38591335 14.35760403  0.        ],1
2,15,3,0,1,"(4, 2)",[42.73197946 45.20220996 43.58489636 43.38005546 45.35093641],4,"(4, 1)",[ 40.45717471  44.34325081  42.10896562 -47.91993895  24.1459436 ],1,"(4, 3)",[44.76506391 46.73875939 -0.342      24.75039304 11.50326838],1,"(3, 2)",[42.99326605 43.91365165 44.40032157 44.30026039 46.81992267],4,"(5, 2)",[13.10665607 44.80642993 42.38591335 14.35760403  0.        ],1
2,15,3,0,2,"(4, 2)",[43.21372835 45.28325903 43.65311115 43.50581992 45.68025201],4,"(4, 1)",[ 40.8137302   44.47176348  42.17570182 -48.54165462  22.35680674],1,"(4, 3)",[45.02928256 46.72325896 -0.38       22.79075938  8.07173198],1,"(3, 2)",[43.38443246 43.95484059 44.61449415 44.42399634 46.81344038],4,"(5, 2)",[10.34395527 45.2325929  42.44157801 11.34085561  0.        ],1
2,15,3,0,original qtable,"(4, 2)",[43.37704813 45.37331355 43.72890536 43.64555821 46.04615823],4,"(4, 1)",[ 41.60274979  44.7616388   42.31688918 -50.          18.14499349],1,"(4, 3)",[45.57481834 47.190245    0.         18.17163876  0.        ],1,"(3, 2)",[43.79365455 44.00060608 44.82705642 44.54990658 47.0541407 ],4,"(5, 2)",[10.34395527 45.2325929  42.44157801 11.34085561  0.        ],1
2,15,3,1,0,"(4, 4)",[44.65034199 27.26949946  9.93102982 39.90249974  8.4172987 ],0,"(4, 3)",[9.5   8.845 0.295 9.5   9.5  ],0,"(4, 5)",[-0.49875     7.93869716  0.15254393  4.52624995  0.        ],1,"(3, 4)",[44.60578138 44.81768837 46.99568209 47.47146996 17.09328406],3,"(5, 4)",[0.25173811 8.53597554 0.35779951 0.295      0.22584949],1
2,15,3,1,1,"(4, 4)",[46.55593557 18.6218998   3.46679127 49.99999971  1.84791386],3,"(4, 3)",[9.5   8.845 0.295 9.5   9.5  ],0,"(4, 5)",[-0.49875     7.93869716  0.15254393  4.52624995  0.        ],1,"(3, 4)",[44.60578138 44.81768837 46.99568209 47.47146996 17.09328406],3,"(5, 4)",[0.25173811 8.53597554 0.35779951 0.295      0.22584949],1
