k,L,Step,Agent,Horizon,CurrentPos,Selected_Action,Q_Current,Pos_Up,Q_Up,Pos_Down,Q_Down,Pos_Left,Q_Left,Pos_Right,Q_Right
5,50,0,0,1,"(11, 6)",0,"[0, 0, 0, 0, 0]","(11, 5)","[0, 0, 0, 0, 0]","(11, 7)","[0, 0, 0, 0, 0]","(10, 6)","[0, 0, 0, 0, 0]","(12, 6)","[0, 0, 0, 0, 0]"
5,50,0,0,2,"(11, 6)",0,"[0, 0, 0, 0, 0]","(11, 5)","[0, 0, 0, 0, 0]","(11, 7)","[0, 0, 0, 0, 0]","(10, 6)","[0, 0, 0, 0, 0]","(12, 6)","[0, 0, 0, 0, 0]"
5,50,0,0,3,"(11, 6)",0,"[0, 0, 0, 0, 0]","(11, 5)","[0, 0, 0, 0, 0]","(11, 7)","[0, 0, 0, 0, 0]","(10, 6)","[0, 0, 0, 0, 0]","(12, 6)","[0, 0, 0, 0, 0]"
5,50,0,0,4,"(11, 6)",0,"[0, 0, 0, 0, 0]","(11, 5)","[0, 0, 0, 0, 0]","(11, 7)","[0, 0, 0, 0, 0]","(10, 6)","[0, 0, 0, 0, 0]","(12, 6)","[0, 0, 0, 0, 0]"
5,50,0,0,5,"(11, 6)",0,"[0, 0, 0, 0, 0]","(11, 5)","[0, 0, 0, 0, 0]","(11, 7)","[0, 0, 0, 0, 0]","(10, 6)","[0, 0, 0, 0, 0]","(12, 6)","[0, 0, 0, 0, 0]"
5,50,0,1,1,"(6, 13)",0,"[0, 0, 0, 0, 0]","(6, 12)","[0, 0, 0, 0, 0]","(6, 14)","[0, 0, 0, 0, 0]","(5, 13)","[0, 0, 0, 0, 0]","(7, 13)","[0, 0, 0, 0, 0]"
5,50,0,1,2,"(6, 13)",0,"[0, 0, 0, 0, 0]","(6, 12)","[0, 0, 0, 0, 0]","(6, 14)","[0, 0, 0, 0, 0]","(5, 13)","[0, 0, 0, 0, 0]","(7, 13)","[0, 0, 0, 0, 0]"
5,50,0,1,3,"(6, 13)",0,"[0, 0, 0, 0, 0]","(6, 12)","[0, 0, 0, 0, 0]","(6, 14)","[0, 0, 0, 0, 0]","(5, 13)","[0, 0, 0, 0, 0]","(7, 13)","[0, 0, 0, 0, 0]"
5,50,0,1,4,"(6, 13)",0,"[0, 0, 0, 0, 0]","(6, 12)","[0, 0, 0, 0, 0]","(6, 14)","[0, 0, 0, 0, 0]","(5, 13)","[0, 0, 0, 0, 0]","(7, 13)","[0, 0, 0, 0, 0]"
5,50,0,1,5,"(6, 13)",0,"[0, 0, 0, 0, 0]","(6, 12)","[0, 0, 0, 0, 0]","(6, 14)","[0, 0, 0, 0, 0]","(5, 13)","[0, 0, 0, 0, 0]","(7, 13)","[0, 0, 0, 0, 0]"
5,50,0,2,1,"(12, 13)",0,"[0, 0, 0, 0, 0]","(12, 12)","[0, 0, 0, 0, 0]","(12, 14)","[0, 0, 0, 0, 0]","(11, 13)","[0, 0, 0, 0, 0]","(13, 13)","[0, 0, 0, 0, 0]"
5,50,0,2,2,"(12, 13)",0,"[0, 0, 0, 0, 0]","(12, 12)","[0, 0, 0, 0, 0]","(12, 14)","[0, 0, 0, 0, 0]","(11, 13)","[0, 0, 0, 0, 0]","(13, 13)","[0, 0, 0, 0, 0]"
5,50,0,2,3,"(12, 13)",0,"[0, 0, 0, 0, 0]","(12, 12)","[0, 0, 0, 0, 0]","(12, 14)","[0, 0, 0, 0, 0]","(11, 13)","[0, 0, 0, 0, 0]","(13, 13)","[0, 0, 0, 0, 0]"
5,50,0,2,4,"(12, 13)",0,"[0, 0, 0, 0, 0]","(12, 12)","[0, 0, 0, 0, 0]","(12, 14)","[0, 0, 0, 0, 0]","(11, 13)","[0, 0, 0, 0, 0]","(13, 13)","[0, 0, 0, 0, 0]"
5,50,0,2,5,"(12, 13)",0,"[0, 0, 0, 0, 0]","(12, 12)","[0, 0, 0, 0, 0]","(12, 14)","[0, 0, 0, 0, 0]","(11, 13)","[0, 0, 0, 0, 0]","(13, 13)","[0, 0, 0, 0, 0]"
5,50,0,3,1,"(2, 7)",0,"[0, 0, 0, 0, 0]","(2, 6)","[0, 0, 0, 0, 0]","(2, 8)","[0, 0, 0, 0, 0]","(1, 7)","[0, 0, 0, 0, 0]","(3, 7)","[0, 0, 0, 0, 0]"
5,50,0,3,2,"(2, 7)",0,"[0, 0, 0, 0, 0]","(2, 6)","[0, 0, 0, 0, 0]","(2, 8)","[0, 0, 0, 0, 0]","(1, 7)","[0, 0, 0, 0, 0]","(3, 7)","[0, 0, 0, 0, 0]"
5,50,0,3,3,"(2, 7)",0,"[0, 0, 0, 0, 0]","(2, 6)","[0, 0, 0, 0, 0]","(2, 8)","[0, 0, 0, 0, 0]","(1, 7)","[0, 0, 0, 0, 0]","(3, 7)","[0, 0, 0, 0, 0]"
5,50,0,3,4,"(2, 7)",0,"[0, 0, 0, 0, 0]","(2, 6)","[0, 0, 0, 0, 0]","(2, 8)","[0, 0, 0, 0, 0]","(1, 7)","[0, 0, 0, 0, 0]","(3, 7)","[0, 0, 0, 0, 0]"
5,50,0,3,5,"(2, 7)",0,"[0, 0, 0, 0, 0]","(2, 6)","[0, 0, 0, 0, 0]","(2, 8)","[0, 0, 0, 0, 0]","(1, 7)","[0, 0, 0, 0, 0]","(3, 7)","[0, 0, 0, 0, 0]"
5,50,0,4,1,"(10, 1)",0,"[0, 0, 0, 0, 0]","(10, 0)","[0, 0, 0, 0, 0]","(10, 2)","[0, 0, 0, 0, 0]","(9, 1)","[0, 0, 0, 0, 0]","(11, 1)","[0, 0, 0, 0, 0]"
5,50,0,4,2,"(10, 1)",0,"[0, 0, 0, 0, 0]","(10, 0)","[0, 0, 0, 0, 0]","(10, 2)","[0, 0, 0, 0, 0]","(9, 1)","[0, 0, 0, 0, 0]","(11, 1)","[0, 0, 0, 0, 0]"
5,50,0,4,3,"(10, 1)",0,"[0, 0, 0, 0, 0]","(10, 0)","[0, 0, 0, 0, 0]","(10, 2)","[0, 0, 0, 0, 0]","(9, 1)","[0, 0, 0, 0, 0]","(11, 1)","[0, 0, 0, 0, 0]"
5,50,0,4,4,"(10, 1)",0,"[0, 0, 0, 0, 0]","(10, 0)","[0, 0, 0, 0, 0]","(10, 2)","[0, 0, 0, 0, 0]","(9, 1)","[0, 0, 0, 0, 0]","(11, 1)","[0, 0, 0, 0, 0]"
5,50,0,4,5,"(10, 1)",0,"[0, 0, 0, 0, 0]","(10, 0)","[0, 0, 0, 0, 0]","(10, 2)","[0, 0, 0, 0, 0]","(9, 1)","[0, 0, 0, 0, 0]","(11, 1)","[0, 0, 0, 0, 0]"
5,50,0,5,1,"(6, 7)",0,"[0, 0, 0, 0, 0]","(6, 6)","[0, 0, 0, 0, 0]","(6, 8)","[0, 0, 0, 0, 0]","(5, 7)","[0, 0, 0, 0, 0]","(7, 7)","[0, 0, 0, 0, 0]"
5,50,0,5,2,"(6, 7)",0,"[0, 0, 0, 0, 0]","(6, 6)","[0, 0, 0, 0, 0]","(6, 8)","[0, 0, 0, 0, 0]","(5, 7)","[0, 0, 0, 0, 0]","(7, 7)","[0, 0, 0, 0, 0]"
5,50,0,5,3,"(6, 7)",0,"[0, 0, 0, 0, 0]","(6, 6)","[0, 0, 0, 0, 0]","(6, 8)","[0, 0, 0, 0, 0]","(5, 7)","[0, 0, 0, 0, 0]","(7, 7)","[0, 0, 0, 0, 0]"
5,50,0,5,4,"(6, 7)",0,"[0, 0, 0, 0, 0]","(6, 6)","[0, 0, 0, 0, 0]","(6, 8)","[0, 0, 0, 0, 0]","(5, 7)","[0, 0, 0, 0, 0]","(7, 7)","[0, 0, 0, 0, 0]"
5,50,0,5,5,"(6, 7)",0,"[0, 0, 0, 0, 0]","(6, 6)","[0, 0, 0, 0, 0]","(6, 8)","[0, 0, 0, 0, 0]","(5, 7)","[0, 0, 0, 0, 0]","(7, 7)","[0, 0, 0, 0, 0]"
5,50,0,6,1,"(1, 1)",0,"[0, 0, 0, 0, 0]","(1, 0)","[0, 0, 0, 0, 0]","(1, 2)","[0, 0, 0, 0, 0]","(0, 1)","[0, 0, 0, 0, 0]","(2, 1)","[0, 0, 0, 0, 0]"
5,50,0,6,2,"(1, 1)",0,"[0, 0, 0, 0, 0]","(1, 0)","[0, 0, 0, 0, 0]","(1, 2)","[0, 0, 0, 0, 0]","(0, 1)","[0, 0, 0, 0, 0]","(2, 1)","[0, 0, 0, 0, 0]"
5,50,0,6,3,"(1, 1)",0,"[0, 0, 0, 0, 0]","(1, 0)","[0, 0, 0, 0, 0]","(1, 2)","[0, 0, 0, 0, 0]","(0, 1)","[0, 0, 0, 0, 0]","(2, 1)","[0, 0, 0, 0, 0]"
5,50,0,6,4,"(1, 1)",0,"[0, 0, 0, 0, 0]","(1, 0)","[0, 0, 0, 0, 0]","(1, 2)","[0, 0, 0, 0, 0]","(0, 1)","[0, 0, 0, 0, 0]","(2, 1)","[0, 0, 0, 0, 0]"
5,50,0,6,5,"(1, 1)",0,"[0, 0, 0, 0, 0]","(1, 0)","[0, 0, 0, 0, 0]","(1, 2)","[0, 0, 0, 0, 0]","(0, 1)","[0, 0, 0, 0, 0]","(2, 1)","[0, 0, 0, 0, 0]"
5,50,0,7,1,"(10, 11)",0,"[0, 0, 0, 0, 0]","(10, 10)","[0, 0, 0, 0, 0]","(10, 12)","[0, 0, 0, 0, 0]","(9, 11)","[0, 0, 0, 0, 0]","(11, 11)","[0, 0, 0, 0, 0]"
5,50,0,7,2,"(10, 11)",0,"[0, 0, 0, 0, 0]","(10, 10)","[0, 0, 0, 0, 0]","(10, 12)","[0, 0, 0, 0, 0]","(9, 11)","[0, 0, 0, 0, 0]","(11, 11)","[0, 0, 0, 0, 0]"
5,50,0,7,3,"(10, 11)",0,"[0, 0, 0, 0, 0]","(10, 10)","[0, 0, 0, 0, 0]","(10, 12)","[0, 0, 0, 0, 0]","(9, 11)","[0, 0, 0, 0, 0]","(11, 11)","[0, 0, 0, 0, 0]"
5,50,0,7,4,"(10, 11)",0,"[0, 0, 0, 0, 0]","(10, 10)","[0, 0, 0, 0, 0]","(10, 12)","[0, 0, 0, 0, 0]","(9, 11)","[0, 0, 0, 0, 0]","(11, 11)","[0, 0, 0, 0, 0]"
5,50,0,7,5,"(10, 11)",0,"[0, 0, 0, 0, 0]","(10, 10)","[0, 0, 0, 0, 0]","(10, 12)","[0, 0, 0, 0, 0]","(9, 11)","[0, 0, 0, 0, 0]","(11, 11)","[0, 0, 0, 0, 0]"
5,50,1,0,1,"(11, 6)",0,"[0, 0, 0, 0, 0]","(11, 5)","[0, 0, 0, 0, 0]","(11, 7)","[0, 0, 0, 0, 0]","(10, 6)","[0, 0, 0, 0, 0]","(12, 6)","[0, 0, 0, 0, 0]"
5,50,1,0,2,"(11, 6)",0,"[0, 0, 0, 0, 0]","(11, 5)","[0, 0, 0, 0, 0]","(11, 7)","[0, 0, 0, 0, 0]","(10, 6)","[0, 0, 0, 0, 0]","(12, 6)","[0, 0, 0, 0, 0]"
5,50,1,0,3,"(11, 6)",0,"[0, 0, 0, 0, 0]","(11, 5)","[0, 0, 0, 0, 0]","(11, 7)","[0, 0, 0, 0, 0]","(10, 6)","[0, 0, 0, 0, 0]","(12, 6)","[0, 0, 0, 0, 0]"
5,50,1,0,4,"(11, 6)",0,"[0, 0, 0, 0, 0]","(11, 5)","[0, 0, 0, 0, 0]","(11, 7)","[0, 0, 0, 0, 0]","(10, 6)","[0, 0, 0, 0, 0]","(12, 6)","[0, 0, 0, 0, 0]"
5,50,1,0,5,"(11, 6)",0,"[0, 0, 0, 0, 0]","(11, 5)","[0, 0, 0, 0, 0]","(11, 7)","[0, 0, 0, 0, 0]","(10, 6)","[0, 0, 0, 0, 0]","(12, 6)","[0, 0, 0, 0, 0]"
5,50,1,1,1,"(6, 13)",0,"[0, 0, 0, 0, 0]","(6, 12)","[0, 0, 0, 0, 0]","(6, 14)","[0, 0, 0, 0, 0]","(5, 13)","[0, 0, 0, 0, 0]","(7, 13)","[0, 0, 0, 0, 0]"
5,50,1,1,2,"(6, 13)",0,"[0, 0, 0, 0, 0]","(6, 12)","[0, 0, 0, 0, 0]","(6, 14)","[0, 0, 0, 0, 0]","(5, 13)","[0, 0, 0, 0, 0]","(7, 13)","[0, 0, 0, 0, 0]"
5,50,1,1,3,"(6, 13)",0,"[0, 0, 0, 0, 0]","(6, 12)","[0, 0, 0, 0, 0]","(6, 14)","[0, 0, 0, 0, 0]","(5, 13)","[0, 0, 0, 0, 0]","(7, 13)","[0, 0, 0, 0, 0]"
5,50,1,1,4,"(6, 13)",0,"[0, 0, 0, 0, 0]","(6, 12)","[0, 0, 0, 0, 0]","(6, 14)","[0, 0, 0, 0, 0]","(5, 13)","[0, 0, 0, 0, 0]","(7, 13)","[0, 0, 0, 0, 0]"
5,50,1,1,5,"(6, 13)",0,"[0, 0, 0, 0, 0]","(6, 12)","[0, 0, 0, 0, 0]","(6, 14)","[0, 0, 0, 0, 0]","(5, 13)","[0, 0, 0, 0, 0]","(7, 13)","[0, 0, 0, 0, 0]"
5,50,1,2,1,"(12, 13)",0,"[0, 0, 0, 0, 0]","(12, 12)","[0, 0, 0, 0, 0]","(12, 14)","[0, 0, 0, 0, 0]","(11, 13)","[0, 0, 0, 0, 0]","(13, 13)","[0, 0, 0, 0, 0]"
5,50,1,2,2,"(12, 13)",0,"[0, 0, 0, 0, 0]","(12, 12)","[0, 0, 0, 0, 0]","(12, 14)","[0, 0, 0, 0, 0]","(11, 13)","[0, 0, 0, 0, 0]","(13, 13)","[0, 0, 0, 0, 0]"
5,50,1,2,3,"(12, 13)",0,"[0, 0, 0, 0, 0]","(12, 12)","[0, 0, 0, 0, 0]","(12, 14)","[0, 0, 0, 0, 0]","(11, 13)","[0, 0, 0, 0, 0]","(13, 13)","[0, 0, 0, 0, 0]"
5,50,1,2,4,"(12, 13)",0,"[0, 0, 0, 0, 0]","(12, 12)","[0, 0, 0, 0, 0]","(12, 14)","[0, 0, 0, 0, 0]","(11, 13)","[0, 0, 0, 0, 0]","(13, 13)","[0, 0, 0, 0, 0]"
5,50,1,2,5,"(12, 13)",0,"[0, 0, 0, 0, 0]","(12, 12)","[0, 0, 0, 0, 0]","(12, 14)","[0, 0, 0, 0, 0]","(11, 13)","[0, 0, 0, 0, 0]","(13, 13)","[0, 0, 0, 0, 0]"
5,50,1,3,1,"(2, 7)",0,"[0, 0, 0, 0, 0]","(2, 6)","[0, 0, 0, 0, 0]","(2, 8)","[0, 0, 0, 0, 0]","(1, 7)","[0, 0, 0, 0, 0]","(3, 7)","[0, 0, 0, 0, 0]"
5,50,1,3,2,"(2, 7)",0,"[0, 0, 0, 0, 0]","(2, 6)","[0, 0, 0, 0, 0]","(2, 8)","[0, 0, 0, 0, 0]","(1, 7)","[0, 0, 0, 0, 0]","(3, 7)","[0, 0, 0, 0, 0]"
5,50,1,3,3,"(2, 7)",0,"[0, 0, 0, 0, 0]","(2, 6)","[0, 0, 0, 0, 0]","(2, 8)","[0, 0, 0, 0, 0]","(1, 7)","[0, 0, 0, 0, 0]","(3, 7)","[0, 0, 0, 0, 0]"
5,50,1,3,4,"(2, 7)",0,"[0, 0, 0, 0, 0]","(2, 6)","[0, 0, 0, 0, 0]","(2, 8)","[0, 0, 0, 0, 0]","(1, 7)","[0, 0, 0, 0, 0]","(3, 7)","[0, 0, 0, 0, 0]"
5,50,1,3,5,"(2, 7)",0,"[0, 0, 0, 0, 0]","(2, 6)","[0, 0, 0, 0, 0]","(2, 8)","[0, 0, 0, 0, 0]","(1, 7)","[0, 0, 0, 0, 0]","(3, 7)","[0, 0, 0, 0, 0]"
5,50,1,4,1,"(10, 1)",0,"[0, 0, 0, 0, 0]","(10, 0)","[0, 0, 0, 0, 0]","(10, 2)","[0, 0, 0, 0, 0]","(9, 1)","[0, 0, 0, 0, 0]","(11, 1)","[0, 0, 0, 0, 0]"
5,50,1,4,2,"(10, 1)",0,"[0, 0, 0, 0, 0]","(10, 0)","[0, 0, 0, 0, 0]","(10, 2)","[0, 0, 0, 0, 0]","(9, 1)","[0, 0, 0, 0, 0]","(11, 1)","[0, 0, 0, 0, 0]"
5,50,1,4,3,"(10, 1)",0,"[0, 0, 0, 0, 0]","(10, 0)","[0, 0, 0, 0, 0]","(10, 2)","[0, 0, 0, 0, 0]","(9, 1)","[0, 0, 0, 0, 0]","(11, 1)","[0, 0, 0, 0, 0]"
5,50,1,4,4,"(10, 1)",0,"[0, 0, 0, 0, 0]","(10, 0)","[0, 0, 0, 0, 0]","(10, 2)","[0, 0, 0, 0, 0]","(9, 1)","[0, 0, 0, 0, 0]","(11, 1)","[0, 0, 0, 0, 0]"
5,50,1,4,5,"(10, 1)",0,"[0, 0, 0, 0, 0]","(10, 0)","[0, 0, 0, 0, 0]","(10, 2)","[0, 0, 0, 0, 0]","(9, 1)","[0, 0, 0, 0, 0]","(11, 1)","[0, 0, 0, 0, 0]"
5,50,1,5,1,"(6, 7)",0,"[0, 0, 0, 0, 0]","(6, 6)","[0, 0, 0, 0, 0]","(6, 8)","[0, 0, 0, 0, 0]","(5, 7)","[0, 0, 0, 0, 0]","(7, 7)","[0, 0, 0, 0, 0]"
5,50,1,5,2,"(6, 7)",0,"[0, 0, 0, 0, 0]","(6, 6)","[0, 0, 0, 0, 0]","(6, 8)","[0, 0, 0, 0, 0]","(5, 7)","[0, 0, 0, 0, 0]","(7, 7)","[0, 0, 0, 0, 0]"
5,50,1,5,3,"(6, 7)",0,"[0, 0, 0, 0, 0]","(6, 6)","[0, 0, 0, 0, 0]","(6, 8)","[0, 0, 0, 0, 0]","(5, 7)","[0, 0, 0, 0, 0]","(7, 7)","[0, 0, 0, 0, 0]"
