k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
2,15,0,0,0,"(3, 2)",[43.84577235 37.81100476 52.25189782 52.22209535 42.29623   ],2,"(3, 1)",[44.95673568 43.95173837 43.96771731 -5.11878159 46.57992127],4,"(3, 3)",[48.46199615 47.48762968 46.17890707 47.48768918 56.878     ],4,"(2, 2)",[44.95580411 43.64526732 46.14702141 43.67858943 46.14692478],2,"(4, 2)",[44.95602601 46.57761818 43.96573821 43.97004481 46.89593607],4
2,15,0,0,1,"(3, 2)",[46.16219409 44.9189308  45.32975988 45.33000315 48.7698    ],4,"(3, 1)",[44.95673568 43.95173837 43.96771731 -5.11878159 46.57992127],4,"(3, 3)",[48.46199615 47.48762968 46.17890707 47.48768918 56.878     ],4,"(2, 2)",[44.95580411 43.64526732 46.14702141 43.67858943 46.14692478],2,"(4, 2)",[44.95602601 46.57761818 43.96573821 43.97004481 46.89593607],4
2,15,0,0,2,"(3, 2)",[46.72099899 45.2153759  45.4314907  45.43175389 48.561     ],4,"(3, 1)",[45.54479004 44.08787883 44.08522997 -4.91679881 47.01499625],4,"(3, 3)",[48.21899572 47.13636632 46.21823009 47.13643243 55.42      ],4,"(2, 2)",[45.25634624 43.77716483 46.57992102 43.78438001 46.57981364],2,"(4, 2)",[45.54400862 47.01244437 44.08323047 44.08781608 47.01492898],4
2,15,0,0,original qtable,"(3, 2)",[47.01499888 45.54475933 45.54452494 45.54481027 48.5       ],4,"(3, 1)",[45.54479004 44.08787883 44.08522997 -4.91679881 47.01499625],4,"(3, 3)",[48.49999413 47.01490578 47.01495901 47.01499647 50.        ],4,"(2, 2)",[45.54435736 44.086436   47.014996   44.08670361 47.01488808],2,"(4, 2)",[45.54400862 47.01244437 44.08323047 44.08781608 47.01492898],4
2,15,0,1,0,"(2, 3)",[43.87209001 51.99905952 42.420889   37.81107142 52.1792483 ],4,"(2, 2)",[44.95619558 43.7076595  43.77725743 43.72805519 46.14702535],4,"(2, 4)",[44.3995913  43.87029847 46.63139566 46.16042686 43.88500822],2,"(1, 3)",[43.8315291  -5.47627435 45.71628836 43.47051247 43.78497019],2,"(3, 3)",[48.46199927 47.48769128 56.878      45.98370853 46.17893016],2
2,15,0,1,1,"(2, 3)",[46.17681544 45.17334681 48.90831    44.91900446 45.27696191],2,"(2, 2)",[44.95619558 43.7076595  43.77725743 43.72805519 46.14702535],4,"(2, 4)",[44.3995913  43.87029847 46.63139566 46.16042686 43.88500822],2,"(1, 3)",[43.8315291  -5.47627435 45.71628836 43.47051247 43.78497019],2,"(3, 3)",[48.46199927 47.48769128 56.878      45.98370853 46.17893016],2
2,15,0,1,2,"(2, 3)",[46.72099993 45.34931064 48.7149     45.21545732 45.40385263],2,"(2, 2)",[45.25678079 43.79626858 43.9468495  43.80699472 46.57992497],4,"(2, 4)",[44.95677417 43.97994429 46.72099519 46.5799248  43.98138801],2,"(1, 3)",[44.38617986 -5.29565816 46.14702348 43.53277189 43.88513509],2,"(3, 3)",[48.21899919 47.13643475 55.42       45.46534281 46.21825575],2
2,15,0,1,original qtable,"(2, 3)",[47.01499993 45.54482601 48.5        45.54484939 45.54484232],2,"(2, 2)",[45.54483976 44.08916756 44.08936056 44.08914976 47.01499997],4,"(2, 4)",[45.54483243 44.08688234 47.01499467 47.0149998  44.08847666],3,"(1, 3)",[45.54482078 -4.91077223 47.01499809 44.08930631 44.08865399],2,"(3, 3)",[48.49999889 47.01499966 50.         44.08935914 47.01499423],2
2,15,1,0,1,"(4, 2)",[43.91892364 46.54224024 43.76482646 43.76865595 46.72603215],4,"(4, 1)",[42.97101133 45.28520908 42.41212323 -6.70999547 45.0037899 ],1,"(4, 3)",[45.9197182  49.3464789  45.30036118 45.32790712 48.46595855],1,"(3, 2)",[45.27533696 44.51516332 45.17106525 45.07407586 49.565017  ],4,"(5, 2)",[42.96553086 45.00264885 42.34613198 42.4125312  45.30794635],4
2,15,1,0,2,"(4, 2)",[44.41553734 46.55899821 43.85999519 43.86405067 46.78884246],4,"(4, 1)",[43.50555665 45.43168782 42.52236836 -6.54106013 45.43086617],1,"(4, 3)",[46.42071584 48.85340989 45.41161934 45.42981464 48.38995413],1,"(3, 2)",[45.67910568 44.61100476 45.22991489 45.19709535 49.09623   ],4,"(5, 2)",[43.49966674 45.42979784 42.45077882 42.52282166 45.4200473 ],1
2,15,1,0,original qtable,"(4, 2)",[44.95602601 46.57761818 43.96573821 43.97004481 46.89593607],4,"(4, 1)",[43.50555665 45.43168782 42.52236836 -6.54106013 45.43086617],1,"(4, 3)",[47.01468428 48.49999988 45.53523952 45.54304523 48.49994921],1,"(3, 2)",[46.16219409 44.9189308  45.32975988 45.33000315 48.7698    ],4,"(5, 2)",[43.49966674 45.42979784 42.45077882 42.52282166 45.4200473 ],1
2,15,1,1,1,"(2, 4)",[43.42830222 43.63519284 46.58472277 46.22681622 43.68137269],2,"(2, 3)",[45.31086547 44.80223975 49.9140622  44.51548057 45.17870961],2,"(2, 5)",[42.48120115 42.34612114 45.23817552 44.34687317 42.34506557],2,"(1, 4)",[ 9.59097145 -6.85547603 44.56727616 44.9514918  42.34966533],3,"(3, 4)",[45.94247091 45.32163722 48.46589307 49.79649787 45.32978124],3
2,15,1,1,2,"(2, 4)",[43.88961475 43.74655866 46.60683098 46.19536863 43.77783163],2,"(2, 3)",[45.70542335 44.97405952 49.220889   44.61107142 45.22525017],2,"(2, 5)",[42.97208547 42.43763581 45.32972871 44.71172105 42.43533644],2,"(1, 4)",[ 6.44742379 -6.70271196 44.97665124 45.13989513 42.4415738 ],3,"(3, 4)",[46.42099559 45.39784704 48.38988218 49.09026197 45.43151284],3
2,15,1,1,original qtable,"(2, 4)",[44.3995913  43.87029847 46.63139566 46.16042686 43.88500822],2,"(2, 3)",[46.17681544 45.17334681 48.90831    44.91900446 45.27696191],2,"(2, 5)",[44.0889064  42.63985415 45.54448311 45.54483174 42.64708292],3,"(1, 4)",[ 2.9267502  -6.53297411 45.40366959 45.34923217 42.54369432],2,"(3, 4)",[47.01499511 45.54483006 48.49987008 48.49999985 45.54454796],3
2,15,2,0,0,"(4, 3)",[43.29283355 42.96850609 52.04196143 52.00520095 41.25057184],2,"(4, 2)",[43.04325719 46.44070017 43.54549323 43.55529609 46.59863704],4,"(4, 4)",[48.00386686 51.08229828 12.22328976 12.46237599 10.64760782],1,"(3, 3)",[49.4331832  46.62901109 45.99472824 46.83701175 54.95492332],4,"(5, 3)",[44.40725164  8.00269871 43.81451801 43.82164656 46.76697559],4
2,15,2,0,1,"(4, 3)",[45.44754358 49.71976486 45.11010973 45.08703381 48.21972611],1,"(4, 2)",[43.04325719 46.44070017 43.54549323 43.55529609 46.59863704],4,"(4, 4)",[48.00386686 51.08229828 12.22328976 12.46237599 10.64760782],1,"(3, 3)",[49.4331832  46.62901109 45.99472824 46.83701175 54.95492332],4,"(5, 3)",[44.40725164  8.00269871 43.81451801 43.82164656 46.76697559],4
2,15,2,0,2,"(4, 3)",[45.81566187 49.61524101 45.20022884 45.20908946 48.35936253],1,"(4, 2)",[43.46600433 46.39669283 43.64938792 43.65636128 46.56687683],4,"(4, 4)",[48.11951891 51.53999827  8.5118508   8.63769789  7.40053685],1,"(3, 3)",[49.29681693 46.6731178  45.89586705 46.83703904 55.43208374],4,"(5, 3)",[44.94705319  3.6825009  43.92757697 43.95622495 46.89372394],4
