k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
1,15,4,0,original qtable,"(5, 4)",[47.01229376 48.49972807 45.51387576  0.          0.        ],1,"(5, 3)",[45.53429524 -0.99999899 44.03089208 44.07266018 47.01249975],4,"(5, 5)",[42.26432007 40.10759195 43.92434213  0.          0.        ],2,"(4, 4)",[46.88630157 47.7723859  18.76568996 18.77073279 16.32767419],1,"(6, 4)",[45.50594982 47.01234684  0.          0.         43.95760727],1
1,15,4,1,0,"(4, 5)",[43.12692215 51.90805437 37.62608881 42.20172228 52.05332162],4,"(4, 4)",[48.46194874 47.07050461 47.51103779 56.87799316 47.92504929],3,"(4, 6)",[ 44.37810776  43.88205571  43.84266082  46.14462275 -18.525     ],3,"(3, 5)",[41.57071623 43.43277257 44.65435842 46.33250296 43.43225424],3,"(5, 5)",[44.94484366 46.14407796 -0.092625    7.98601772  8.17091123],1
1,15,4,1,1,"(4, 5)",[45.37455581 45.0071851  44.71377934 48.66479215 45.18842495],3,"(4, 4)",[48.46194874 47.07050461 47.51103779 56.87799316 47.92504929],3,"(4, 6)",[ 44.37810776  43.88205571  43.84266082  46.14462275 -18.525     ],3,"(3, 5)",[41.57071623 43.43277257 44.65435842 46.33250296 43.43225424],3,"(5, 5)",[44.94484366 46.14407796 -0.092625    7.98601772  8.17091123],1
1,15,4,1,original qtable,"(4, 5)",[47.01324327 45.54415078 45.53342217 48.49929262 45.53377086],3,"(4, 4)",[48.19993266 46.86348136 46.89552806 51.99999061 46.89344477],3,"(4, 6)",[45.53539417 44.08488566 44.03919702 47.01257317  0.        ],3,"(3, 5)",[43.4626063  43.72070522 46.60425509 45.43447718 43.71998733],2,"(5, 5)",[45.53148671 47.01202289  0.          0.          0.        ],1
1,15,6,0,0,"(5, 4)",[41.94058802 41.74129173 51.06733781 29.68709615 13.78041958],2,"(5, 3)",[42.24328224 20.88222141 43.54679982 43.57732378 44.43453772],4,"(5, 5)",[41.15228185 39.87875546 43.5357133  16.16604785 -0.19963612],2,"(4, 4)",[47.17210685 56.87481615 31.25988494 29.79898761 29.820261  ],1,"(6, 4)",[ 41.23510342  43.59215632 -55.52944703  24.48862337  43.39816973],1
1,15,6,0,1,"(5, 4)",[44.1103725  48.153538   44.3623144  20.51757229 18.49391868],1,"(5, 3)",[42.24328224 20.88222141 43.54679982 43.57732378 44.43453772],4,"(5, 5)",[41.15228185 39.87875546 43.5357133  16.16604785 -0.19963612],2,"(4, 4)",[47.17210685 56.87481615 31.25988494 29.79898761 29.820261  ],1,"(6, 4)",[ 41.23510342  43.59215632 -55.52944703  24.48862337  43.39816973],1
1,15,6,0,original qtable,"(5, 4)",[44.49538106 48.04767935 44.58415504 18.04496974 16.16901199],1,"(5, 3)",[44.37720441  7.87320988 43.83459337 43.87180198 46.14455006],4,"(5, 5)",[41.55176757 39.97951276 43.66716059 10.71917035 -0.1321125 ],2,"(4, 4)",[46.43198226 51.99563258 24.03437906 23.88750263 22.05958628],1,"(6, 4)",[ 43.80251326  45.71367669 -26.4225      11.6523878   43.69141088],1
1,15,6,1,0,"(4, 5)",[42.79790283 51.87671639 37.09478876 42.85400479 51.70995048],1,"(4, 4)",[49.26531531 47.17631564 48.49507744 59.37117446 49.05481307],3,"(4, 6)",[ 42.24389849  43.58468671  43.55451909  44.43460897 -45.6845025 ],3,"(3, 5)",[40.7564445  43.28999134 43.81132214 46.7778197  43.28957197],3,"(5, 5)",[43.64725737 44.434075   -0.22842251 19.25899695 20.15028419],1
1,15,6,1,1,"(4, 5)",[44.96025548 44.92535946 44.30394626 49.12638135 44.98740292],3,"(4, 4)",[49.26531531 47.17631564 48.49507744 59.37117446 49.05481307],3,"(4, 6)",[ 42.24389849  43.58468671  43.55451909  44.43460897 -45.6845025 ],3,"(3, 5)",[40.7564445  43.28999134 43.81132214 46.7778197  43.28957197],3,"(5, 5)",[43.64725737 44.434075   -0.22842251 19.25899695 20.15028419],1
1,15,6,1,original qtable,"(4, 5)",[45.37455581 45.0071851  44.71377934 48.66479215 45.18842495],3,"(4, 4)",[48.46194874 47.07050461 47.51103779 56.87799316 47.92504929],3,"(4, 6)",[ 44.37810776  43.88205571  43.84266082  46.14462275 -18.525     ],3,"(3, 5)",[41.57071623 43.43277257 44.65435842 46.33250296 43.43225424],3,"(5, 5)",[44.94484366 46.14407796 -0.092625    7.98601772  8.17091123],1
1,15,8,0,0,"(5, 4)",[41.18706895 42.81672621 49.99490001 36.07759355 34.7525797 ],2,"(5, 3)",[40.76391645 27.6081376  43.39800487 43.42507273 43.17434169],3,"(5, 5)",[40.23622093 39.87732877 43.429241   20.55778889 -0.25433026],2,"(4, 4)",[47.65800369 56.39044207 33.29098844 31.38919888 30.82535956],1,"(6, 4)",[ 39.16412049  41.78446665 -72.71680817  32.06829211  43.22501377],4
1,15,8,0,1,"(5, 4)",[43.14160099 49.39959357 43.20947077 27.7246796  26.25200201],1,"(5, 3)",[40.76391645 27.6081376  43.39800487 43.42507273 43.17434169],3,"(5, 5)",[40.23622093 39.87732877 43.429241   20.55778889 -0.25433026],2,"(4, 4)",[47.65800369 56.39044207 33.29098844 31.38919888 30.82535956],1,"(6, 4)",[ 39.16412049  41.78446665 -72.71680817  32.06829211  43.22501377],4
1,15,8,0,original qtable,"(5, 4)",[44.1103725  48.153538   44.3623144  20.51757229 18.49391868],1,"(5, 3)",[42.24328224 20.88222141 43.54679982 43.57732378 44.43453772],4,"(5, 5)",[41.15228185 39.87875546 43.5357133  16.16604785 -0.19963612],2,"(4, 4)",[47.17210685 56.87481615 31.25988494 29.79898761 29.820261  ],1,"(6, 4)",[ 41.23510342  43.59215632 -55.52944703  24.48862337  43.39816973],1
