k,L,Step,Agent,Horizon,CurrentPos,Selected_Action,Q_Current,Pos_Up,Q_Up,Pos_Down,Q_Down,Pos_Left,Q_Left,Pos_Right,Q_Right
3,50,0,0,1,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]"
3,50,0,0,2,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]"
3,50,0,0,3,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]"
3,50,0,1,1,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)",[40.08517539 40.07420073 41.62872611 41.59804354 39.96384176],"(1, 3)",[40.85219402 -8.73305716 42.01253753 42.29945712 40.23302173],"(3, 3)","[0, 0, 0, 0, 0]"
3,50,0,1,2,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)",[40.43823046 40.31492528 41.77542881 42.00808396 40.19230421],"(1, 3)",[41.13196651 -8.51485286 42.42123707 42.45709641 40.4439973 ],"(3, 3)","[0, 0, 0, 0, 0]"
3,50,0,1,3,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)",[40.78701432 40.53889747 42.2717349  42.42018489 40.40265182],"(1, 3)",[41.51294493 -8.31542957 42.83435667 42.84543232 40.63742359],"(3, 3)","[0, 0, 0, 0, 0]"
3,50,0,2,1,"(1, 4)",0,"[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(1, 5)",[ 38.68316702 -11.2268532   39.60972471  39.60972471 -11.41456052],"(0, 4)","[0, 0, 0, 0, 0]","(2, 4)",[41.89348557 40.92803266 43.09750319 43.25060972 40.92803266]
3,50,0,2,2,"(1, 4)",0,"[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(1, 5)",[ 38.98026503 -11.05231042  40.00977357  40.00977357 -11.18994869],"(0, 4)","[0, 0, 0, 0, 0]","(2, 4)",[42.27214988 41.08831331 43.41102935 43.66895449 41.08831331]
3,50,0,2,3,"(1, 4)",0,"[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(1, 5)",[ 39.26793436 -10.89085033  40.41183274  40.41183274 -10.96497571],"(0, 4)","[0, 0, 0, 0, 0]","(2, 4)",[42.64850748 41.22202241 44.0894015  44.0894015  41.22202241]
3,50,0,3,1,"(4, 5)",0,"[0, 0, 0, 0, 0]","(4, 4)","[0, 0, 0, 0, 0]","(4, 6)","[0, 0, 0, 0, 0]","(3, 5)","[0, 0, 0, 0, 0]","(5, 5)","[0, 0, 0, 0, 0]"
