k,L,Step,Agent,Horizon,CurrentPos,Selected_Action,Q_Current,Pos_Up,Q_Up,Pos_Down,Q_Down,Pos_Left,Q_Left,Pos_Right,Q_Right
3,200,0,0,1,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]"
3,200,0,0,2,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]"
3,200,0,0,3,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]"
3,200,0,1,1,"(1, 4)",3,[ 37.4828082  -12.53891177  37.33381146  38.07817253  35.10664037],"(1, 3)",[ 38.1561322  -10.3509315   39.18065369  39.48664343  38.16565575],"(1, 5)",[ 34.70064518 -13.80501662  34.96233243  34.96233243 -14.06603966],"(0, 4)",[-12.51504783  23.28399619  36.09810618 -10.46624492 -13.44885702],"(2, 4)",[37.52840632 38.37066572 38.99786453 39.18049827 38.16550034]
3,200,0,1,2,"(1, 4)",3,[ 37.82137127 -12.227289    37.6376271   38.35341116  35.49936972],"(1, 3)",[ 38.44003301 -10.10405162  39.57839022  39.58002619  38.45061474],"(1, 5)",[ 35.04826395 -13.60697074  35.33902757  35.33902757 -13.83741222],"(0, 4)",[-12.20077351  22.24260873  36.48050873 -10.23217764 -13.21123784],"(2, 4)",[37.85384361 38.67857628 39.10262285 39.57839022 38.45061474]
3,200,0,1,3,"(1, 4)",3,[ 38.15798034 -11.92160902  37.93298927  38.7283049   35.8957736 ],"(1, 3)",[38.82455139 -9.88155237 39.97828163 39.91458076 38.72519776],"(1, 5)",[ 35.39454496 -13.43725829  35.71761565  35.71761565 -13.62709981],"(0, 4)",[-11.89214738  21.04494401  36.86483289 -10.02391462 -12.99755508],"(2, 4)",[38.17322983 38.97848836 39.56679432 39.97828163 38.72519776]
3,200,0,2,1,"(3, 4)",0,"[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(3, 5)",[ 34.86538529  36.59251797  36.28630673  38.33661008 -13.03678629],"(2, 4)",[36.35165387 37.45617098 38.72057478 38.04130752 37.23693681],"(4, 4)","[0, 0, 0, 0, 0]"
3,200,0,2,2,"(3, 4)",0,"[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(3, 5)",[ 35.25727393  36.8429769   36.41141941  38.25093427 -12.69932054],"(2, 4)",[36.64142834 37.75755846 38.67756171 38.40771017 37.51396494],"(4, 4)","[0, 0, 0, 0, 0]"
3,200,0,2,3,"(3, 4)",0,"[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(3, 5)",[ 35.66748095  37.09603981  36.64285274  38.48990604 -12.32607319],"(2, 4)",[36.93317153 38.06220499 38.96393654 38.78459578 37.79154552],"(4, 4)","[0, 0, 0, 0, 0]"
3,200,0,3,1,"(2, 3)",4,[39.93791287 38.68064369 39.85463226 37.10191246 40.37096123],"(2, 2)",[35.8451151  36.97435767 38.88116391 37.1758776  37.53704887],"(2, 4)",[40.37325002 41.2073293  42.96062543 41.18887873 42.01515415],"(1, 3)",[ 39.69431264 -10.48623381  40.78410306  38.50760078  40.7840972 ],"(3, 3)",[38.48423976 39.6374599  39.6374599  38.50631934 42.07652925]
3,200,0,3,2,"(2, 3)",4,[40.30534807 38.85287625 40.08308675 37.20937316 40.66420642],"(2, 2)",[36.2573761  36.95572919 39.08922749 37.33601371 37.80396918],"(2, 4)",[40.66674952 41.48239317 42.87553103 41.46189253 42.37997634],"(1, 3)",[ 39.97917509 -10.05522015  41.19005333  38.65933265  41.19004682],"(3, 3)",[38.56042842 39.84178413 39.84178413 38.67273352 41.89320195]
3,200,0,3,3,"(2, 3)",4,[40.68180111 39.11229123 40.32395989 37.40634628 40.9655481 ],"(2, 2)",[36.34857176 37.11466323 39.40696326 37.61513935 38.06700852],"(2, 4)",[40.96837376 41.76353337 43.10750671 41.74075488 42.760848  ],"(1, 3)",[40.36373439 -9.58795077 41.59804354 39.00755597 41.59803631],"(3, 3)",[38.6321173  40.05584588 40.05584588 38.94419218 42.01602994]
3,200,0,4,1,"(5, 4)",0,"[0, 0, 0, 0, 0]","(5, 3)",[38.46797741 41.118002   -7.09363431 30.57188641 38.56160377],"(5, 5)","[0, 0, 0, 0, 0]","(4, 4)",[45.247102   40.27377476 50.         46.08694195 43.92299596],"(6, 4)","[0, 0, 0, 0, 0]"
3,200,0,4,2,"(5, 4)",0,"[0, 0, 0, 0, 0]","(5, 3)",[38.91449172 41.52563016 -6.86328683 29.70122328 37.29067086],"(5, 5)","[0, 0, 0, 0, 0]","(4, 4)",[45.55233556 40.40700775 50.         46.15215772 44.14204665],"(6, 4)","[0, 0, 0, 0, 0]"
3,200,0,4,3,"(5, 4)",0,"[0, 0, 0, 0, 0]","(5, 3)",[39.3673751  41.93530669 -6.65594548 28.71201499 35.87852318],"(5, 5)","[0, 0, 0, 0, 0]","(4, 4)",[45.89148395 40.85168014 50.         46.22461969 44.51165186],"(6, 4)","[0, 0, 0, 0, 0]"
3,200,1,0,1,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)",[ 40.50028908  41.34013456  29.00275691 -15.71669133  47.88044209],"(3, 3)","[0, 0, 0, 0, 0]","(2, 2)",[44.70062534 40.41533923 50.         44.3488119  45.42617666],"(4, 2)","[0, 0, 0, 0, 0]"
3,200,1,0,2,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)",[ 40.5266891   41.12651742  28.32913146 -15.93413251  47.64493565],"(3, 3)","[0, 0, 0, 0, 0]","(2, 2)",[44.61180593 40.28860147 50.         44.22090211 45.41797407],"(4, 2)","[0, 0, 0, 0, 0]"
3,200,1,0,3,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)",[ 40.58364359  40.91678616  27.6516218  -16.10692994  47.38326183],"(3, 3)","[0, 0, 0, 0, 0]","(2, 2)",[44.5131177  40.37826347 50.         44.07878012 45.40886008],"(4, 2)","[0, 0, 0, 0, 0]"
3,200,1,1,1,"(1, 4)",3,[ 31.9253507  -17.32468612  31.29140788  33.39521867  29.66228073],"(1, 3)",[ 33.66931009 -14.86721861  34.48339958  36.76227012  34.21697383],"(1, 5)",[ 30.85882638 -17.74999734  30.94094661  30.94094661 -17.50780614],"(0, 4)",[-16.17662293  27.99458781  32.0157913  -14.12770328 -17.76993037],"(2, 4)",[32.16537946 33.80052555 35.07998778 33.94878464 33.58033427]
3,200,1,1,2,"(1, 4)",3,[ 32.16293143 -17.11173966  31.41472506  33.46013067  29.87669391],"(1, 3)",[ 33.76467669 -14.61816294  34.66922058  36.64316907  34.37319196],"(1, 5)",[ 31.20618908 -17.41102933  31.29743378  31.29743378 -17.13743467],"(0, 4)",[-15.83611389  27.90967582  32.3776797  -13.79647925 -17.43317713],"(2, 4)",[32.38580459 34.09152247 34.92795077 34.25625479 33.8468655 ]
