k,L,Step,Agent,Horizon,CurrentPos,Selected_Action,Q_Current,Pos_Up,Q_Up,Pos_Down,Q_Down,Pos_Left,Q_Left,Pos_Right,Q_Right
1,500,0,1,1,"(3, 4)",0,"[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(3, 5)","[0, 0, 0, 0, 0]","(2, 4)",[37.15502527 38.1549457  42.26766724 38.15497856 38.1548839 ],"(4, 4)","[0, 0, 0, 0, 0]"
1,500,0,3,1,"(4, 3)",0,"[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]","(4, 4)","[0, 0, 0, 0, 0]","(3, 3)",[40.82174988 40.82172169 40.82172169 42.26764278 45.07503756],"(5, 3)","[0, 0, 0, 0, 0]"
1,500,1,0,1,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)",[45.50005228 45.5000264  50.         45.07335464 45.49997542],"(4, 2)","[0, 0, 0, 0, 0]"
1,500,1,1,1,"(3, 4)",0,"[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(3, 5)","[0, 0, 0, 0, 0]","(2, 4)",[38.15421685 38.15422714 42.2676075  38.15422714 39.5160681 ],"(4, 4)","[0, 0, 0, 0, 0]"
1,500,1,2,1,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)","[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]"
1,500,2,2,1,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)","[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]"
1,500,2,3,1,"(4, 3)",4,[36.47665481 39.47663892 -0.99998971 40.8845107  43.66380068],"(4, 2)","[0, 0, 0, 0, 0]","(4, 4)","[0, 0, 0, 0, 0]","(3, 3)",[36.4090956  38.72992027 40.4697195  37.84145379 39.48153418],"(5, 3)","[0, 0, 0, 0, 0]"
1,500,3,2,1,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)","[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]"
1,500,3,3,1,"(4, 3)",4,[41.14462825 37.4566912  -2.94969733 36.53404629 45.48423574],"(4, 2)",[32.52892237 37.84099887 -0.99995952 39.51448235 35.52808127],"(4, 4)",[45.48624153 40.48132955 -0.99997049 45.48486278 49.99852437],"(3, 3)",[33.45686348 38.73027528 36.45689478 37.84074592 40.48110721],"(5, 3)",[ -2.94987775  -2.94987775 -49.99958324  -0.99999166  -0.99999166]
1,500,4,1,1,"(3, 4)",2,[35.84573318 39.15186873 39.82361607 39.82243691 39.15614753],"(3, 3)",[39.82138148 42.26761557 40.82138357 45.07500859 40.82135999],"(3, 5)",[35.15509085 39.51613805 42.26766724 38.15497856 -9.48386195],"(2, 4)",[35.15352115 35.2465079  38.15354056 42.26753582 39.51608211],"(4, 4)",[39.82218227 40.82209281 45.07507068 40.82212778 42.26767388]
