k,L,Step,Agent,Horizon,CurrentPos,Selected_Action,Q_Current,Pos_Up,Q_Up,Pos_Down,Q_Down,Pos_Left,Q_Left,Pos_Right,Q_Right
4,50,0,0,1,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]"
4,50,0,0,2,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]"
4,50,0,0,3,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]"
4,50,0,0,4,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]"
4,50,0,1,1,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)",[38.36322983 38.97848836 40.20223029 39.97828163 38.82915143],"(1, 3)",[41.23091432 -8.69376076 42.42018489 42.49211354 40.50977941],"(3, 3)","[0, 0, 0, 0, 0]"
4,50,0,1,2,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)",[38.69679166 39.26930114 40.21480616 40.38018254 39.1033712 ],"(1, 3)",[41.51294493 -8.45713987 42.83435667 42.6858907  40.71168392],"(3, 3)","[0, 0, 0, 0, 0]"
4,50,0,1,3,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)",[39.02477985 39.54979038 40.55427128 40.78410306 39.36542379],"(1, 3)",[41.89348557 -8.23117809 43.25060972 43.10588046 40.89208444],"(3, 3)","[0, 0, 0, 0, 0]"
4,50,0,1,4,"(2, 3)",0,"[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(2, 4)",[39.45747199 39.8185948  40.89056672 41.19005333 39.61374303],"(1, 3)",[42.27214988 -8.01650417 43.66895449 43.51912727 41.04837085],"(3, 3)","[0, 0, 0, 0, 0]"
4,50,0,2,1,"(1, 4)",0,"[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(1, 5)",[ 38.37777416 -11.57360314  39.21167608  39.21167608 -11.43096321],"(0, 4)","[0, 0, 0, 0, 0]","(2, 4)",[40.97701432 40.53889747 42.15635467 42.42018489 40.50977941]
4,50,0,2,2,"(1, 4)",0,"[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(1, 5)",[ 38.68316702 -11.35995906  39.60972471  39.60972471 -11.25241963],"(0, 4)","[0, 0, 0, 0, 0]","(2, 4)",[41.34194493 40.74403731 42.39535298 42.83435667 40.71168392]
4,50,0,2,3,"(1, 4)",0,"[0, 0, 0, 0, 0]","(1, 3)","[0, 0, 0, 0, 0]","(1, 5)",[ 38.98026503 -11.15090735  40.00977357  40.00977357 -11.08802953],"(0, 4)","[0, 0, 0, 0, 0]","(2, 4)",[41.70348557 40.92803266 42.97158546 43.25060972 40.89208444]
