k,L,Step,Agent,Horizon,CurrentPos,Selected_Action,Q_Current,Pos_Up,Q_Up,Pos_Down,Q_Down,Pos_Left,Q_Left,Pos_Right,Q_Right
6,200,0,0,1,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]"
6,200,0,0,2,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]"
6,200,0,0,3,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]"
6,200,0,0,4,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]"
6,200,0,0,5,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]"
6,200,0,0,6,"(3, 2)",0,"[0, 0, 0, 0, 0]","(3, 1)","[0, 0, 0, 0, 0]","(3, 3)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]","(4, 2)","[0, 0, 0, 0, 0]"
6,200,0,1,1,"(1, 2)",0,"[0, 0, 0, 0, 0]","(1, 1)","[0, 0, 0, 0, 0]","(1, 3)",[ 37.40863585 -11.00455569  39.18049827  38.89615535  38.24970281],"(0, 2)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]"
6,200,0,1,2,"(1, 2)",0,"[0, 0, 0, 0, 0]","(1, 1)","[0, 0, 0, 0, 0]","(1, 3)",[ 37.6096542  -10.69182146  39.57839022  39.00579997  38.54417304],"(0, 2)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]"
6,200,0,1,3,"(1, 2)",0,"[0, 0, 0, 0, 0]","(1, 1)","[0, 0, 0, 0, 0]","(1, 3)",[ 37.90190827 -10.38076412  39.97828163  39.33942462  38.82915143],"(0, 2)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]"
6,200,0,1,4,"(1, 2)",0,"[0, 0, 0, 0, 0]","(1, 1)","[0, 0, 0, 0, 0]","(1, 3)",[ 38.18421215 -10.07113929  40.38018254  39.66348523  39.1033712 ],"(0, 2)","[0, 0, 0, 0, 0]","(2, 2)","[0, 0, 0, 0, 0]"
