k,L,Step,Agent,Horizon,CurrentPos,Selected_Action,Q_Current,Pos_Up,Q_Up,Pos_Down,Q_Down,Pos_Left,Q_Left,Pos_Right,Q_Right
6,50,0,0,1,"(13, 2)",0,"[0, 0, 0, 0, 0]","(13, 1)","[0, 0, 0, 0, 0]","(13, 3)","[0, 0, 0, 0, 0]","(12, 2)","[0, 0, 0, 0, 0]","(14, 2)","[0, 0, 0, 0, 0]"
6,50,0,0,2,"(13, 2)",0,"[0, 0, 0, 0, 0]","(13, 1)","[0, 0, 0, 0, 0]","(13, 3)","[0, 0, 0, 0, 0]","(12, 2)","[0, 0, 0, 0, 0]","(14, 2)","[0, 0, 0, 0, 0]"
6,50,0,0,3,"(13, 2)",0,"[0, 0, 0, 0, 0]","(13, 1)","[0, 0, 0, 0, 0]","(13, 3)","[0, 0, 0, 0, 0]","(12, 2)","[0, 0, 0, 0, 0]","(14, 2)","[0, 0, 0, 0, 0]"
6,50,0,0,4,"(13, 2)",0,"[0, 0, 0, 0, 0]","(13, 1)","[0, 0, 0, 0, 0]","(13, 3)","[0, 0, 0, 0, 0]","(12, 2)","[0, 0, 0, 0, 0]","(14, 2)","[0, 0, 0, 0, 0]"
6,50,0,0,5,"(13, 2)",0,"[0, 0, 0, 0, 0]","(13, 1)","[0, 0, 0, 0, 0]","(13, 3)","[0, 0, 0, 0, 0]","(12, 2)","[0, 0, 0, 0, 0]","(14, 2)","[0, 0, 0, 0, 0]"
6,50,0,0,6,"(13, 2)",0,"[0, 0, 0, 0, 0]","(13, 1)","[0, 0, 0, 0, 0]","(13, 3)","[0, 0, 0, 0, 0]","(12, 2)","[0, 0, 0, 0, 0]","(14, 2)","[0, 0, 0, 0, 0]"
6,50,0,1,1,"(8, 4)",0,"[0, 0, 0, 0, 0]","(8, 3)","[0, 0, 0, 0, 0]","(8, 5)","[0, 0, 0, 0, 0]","(7, 4)","[0, 0, 0, 0, 0]","(9, 4)","[0, 0, 0, 0, 0]"
6,50,0,1,2,"(8, 4)",0,"[0, 0, 0, 0, 0]","(8, 3)","[0, 0, 0, 0, 0]","(8, 5)","[0, 0, 0, 0, 0]","(7, 4)","[0, 0, 0, 0, 0]","(9, 4)","[0, 0, 0, 0, 0]"
6,50,0,1,3,"(8, 4)",0,"[0, 0, 0, 0, 0]","(8, 3)","[0, 0, 0, 0, 0]","(8, 5)","[0, 0, 0, 0, 0]","(7, 4)","[0, 0, 0, 0, 0]","(9, 4)","[0, 0, 0, 0, 0]"
6,50,0,1,4,"(8, 4)",0,"[0, 0, 0, 0, 0]","(8, 3)","[0, 0, 0, 0, 0]","(8, 5)","[0, 0, 0, 0, 0]","(7, 4)","[0, 0, 0, 0, 0]","(9, 4)","[0, 0, 0, 0, 0]"
6,50,0,1,5,"(8, 4)",0,"[0, 0, 0, 0, 0]","(8, 3)","[0, 0, 0, 0, 0]","(8, 5)","[0, 0, 0, 0, 0]","(7, 4)","[0, 0, 0, 0, 0]","(9, 4)","[0, 0, 0, 0, 0]"
