Step,Agent,Horizon,Chosen_Action,Sample_Q
2,2,2,3,[26.53357048 29.27882794 23.77234438 33.6365723  29.3887968 ]
2,2,3,3,[26.25273851 29.19191347 23.93672885 33.7484823  29.31410109]
2,2,4,3,[26.15419838 29.08661499 24.10347543 33.83115762 29.22237902]
2,2,5,3,[26.02770496 28.95261231 24.38369899 33.99225171 29.10346123]
2,2,6,3,[25.87270569 28.78926942 24.66736717 34.12915618 28.95687933]
2,3,1,4,[25.9460068  25.11583565 28.46334405 24.58382897 30.78526654]
2,3,2,4,[26.16661529 25.12050753 28.63032335 24.53888818 30.48476877]
2,3,3,4,[26.31187372 25.31214529 28.8271049  24.56433739 30.37819942]
2,3,4,4,[26.46179707 25.60023205 29.03427615 24.77892929 30.48690904]
2,3,5,4,[26.72749285 25.88419256 29.25246961 24.98127706 30.60056319]
2,3,6,4,[27.01018609 26.27449789 29.48238249 25.28095002 30.71921441]
3,1,1,2,[24.07231491 26.5224409  26.00501037 27.43331941 26.34480913]
3,1,2,2,[24.19940078 26.81065188 26.23572907 27.2932022  26.61328325]
3,1,3,2,[24.4301495  27.10931738 26.47051427 27.4975393  26.89001891]
3,1,4,2,[24.66485736 27.41948834 26.7097071  27.70292498 27.17582337]
3,1,5,2,[24.89231235 27.73079122 26.9421454  28.01869731 27.46005236]
3,1,6,2,[25.22181945 28.04235153 27.16607839 28.34394575 27.74153057]
3,2,1,3,[24.51306432 26.97108984 25.96984396 28.02866355 26.83411897]
3,2,2,3,[24.61949223 27.23952058 26.12702516 27.95285595 27.08733073]
3,2,3,3,[24.8196915  27.5086119  26.27250587 28.22915657 27.33951206]
3,2,4,3,[25.01194076 27.77740786 26.40395673 28.51520862 27.58951915]
3,2,5,3,[25.18265835 28.03317735 26.50712054 28.92156047 27.82441212]
3,2,6,3,[25.43836878 28.27227878 26.5766601  29.34869947 28.04031741]
3,3,1,2,[40.77554137 41.97336825 34.37849953 31.79871942 49.08759982]
3,3,2,2,[40.35761142 41.68853018 33.74228534 31.18049894 48.98622202]
3,3,3,2,[39.90513479 41.38393342 33.18302684 30.65217621 48.87358002]
3,3,4,2,[39.5267052  41.05870367 32.57861362 30.21589228 48.74842225]
