Step,Agent,Horizon,Num_States,MostCommonAction,ActionDistribution,Sample_State,Sample_Q
34,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.70355019 39.59690973 30.01554586 35.66909752 30.00804733]
34,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.71186849 39.60914268 30.02499713 35.67358774 30.01639313]
34,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.71995233 39.62011986 30.03521056 35.67741817 30.02534799]
35,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.80332689 39.8658639  30.31293038 35.67629832 30.21237285]
35,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.70570416 39.66519102 30.13131634 35.67567241 30.00640037]
35,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.71819413 39.57188881 30.03959917 35.68482553 30.01357384]
35,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.73034795 39.5882208  30.04783439 35.69327172 30.02076079]
35,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.74213206 39.60451681 30.05609075 35.70093625 30.02805721]
35,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.75353131 39.62056724 30.06445009 35.70775818 30.03557754]
36,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.79756602 39.83520438 30.32208135 35.6623322  30.24247555]
36,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.70233763 39.63644375 30.14469842 35.66318894 30.04291114]
36,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.71720132 39.54585725 30.0577496  35.67370278 30.05257467]
36,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.73160479 39.56586334 30.07139847 35.68327307 30.06210517]
36,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.74538057 39.5869713  30.08585194 35.69167866 30.07158894]
36,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.75834285 39.60917901 30.10136774 35.69867406 30.0811454 ]
37,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.76724541 39.78728233 30.3102512  35.62923471 30.23080595]
37,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.67380907 39.58754999 30.13249892 35.63157496 30.03073186]
37,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.69072684 39.49636746 30.0446933  35.64380005 30.04223447]
37,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.70742579 39.5162487  30.05689279 35.65528492 30.05361029]
37,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.72370374 39.53781506 30.06918828 35.66576943 30.06492942]
37,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.7393224  39.56119556 30.08171099 35.67495095 30.07629933]
38,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.74279149 39.8024326  30.26641622 35.6124126  30.19624018]
38,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.64528944 39.60032632 30.08739103 35.61153512 29.99431913]
38,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.65801576 39.50605528 29.99867875 35.62051096 30.0041172 ]
38,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.67047265 39.52200393 30.01039111 35.62880065 30.01392336]
38,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.68255717 39.5386442  30.02266854 35.63625495 30.02380384]
38,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.6941595  39.55593287 30.03568464 35.64271258 30.03384672]
39,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.74867795 39.79615304 30.28859798 35.61323194 30.20501147]
39,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.65234479 39.59544881 30.11007348 35.61296033 30.00598217]
39,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.66618083 39.50296891 30.02166492 35.62242032 30.01558108]
39,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.6796333  39.52116694 30.03345913 35.63101051 30.0249905 ]
39,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.69252979 39.54059455 30.04557455 35.63850447 30.03426627]
39,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.70467363 39.56130031 30.05816765 35.64464549 30.04349324]
