config_idx,config_str,handle_deadlocks,check_safety,deadlock_protocole,with_stay,avg_steps,std_steps,success_rate,success_count,failure_count,deadlock_count,timeout_count
0,"handle_deadlocks=False, check_safety=True, deadlock_protocole=Q, with_stay=False",False,True,Q,False,12.666666666666666,0.7453559924999299,0.12,6,0,44,0
1,"handle_deadlocks=False, check_safety=False, deadlock_protocole=Q, with_stay=False",False,False,Q,False,13.0,0.0,0.14,7,0,43,0
