k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
2,1,0,0,1,"(8, 2)",[4.42091852 5.58123077 5.16270931 5.16270932 5.58123082],4,"(8, 1)",[  4.21270933   5.3709145    4.95658216 -49.62459722   4.28403359],1,"(8, 3)",[4.63123082 5.79366748 5.37091852 4.55918612 5.7936675 ],4,"(7, 2)",[4.63123065 5.79366749 4.55918611 5.36442462 5.79366746],1,"(9, 2)",[4.21270932 4.28403358 4.95658183 4.95658212 5.37091851],4
2,1,0,0,2,"(8, 2)",[42.64850748 44.08940059 41.22202204 41.22202219 44.0894015 ],4,"(8, 1)",[ 41.22202236  42.64845087  39.8098006  -50.          42.64850748],4,"(8, 3)",[44.0894015  45.54484963 42.64850747 42.64850748 45.54485   ],4,"(7, 2)",[44.08939816 45.54484989 42.64850745 42.51865319 45.54484912],1,"(9, 2)",[41.22202213 42.64850747 39.80979538 39.80979982 42.64850739],1
2,1,0,0,original qtable,"(8, 2)",[42.64850748 44.08940059 41.22202204 41.22202219 44.0894015 ],4,"(8, 1)",[ 41.22202236  42.64845087  39.8098006  -50.          42.64850748],4,"(8, 3)",[44.0894015  45.54484963 42.64850747 42.64850748 45.54485   ],4,"(7, 2)",[44.08939816 45.54484989 42.64850745 42.51865319 45.54484912],1,"(9, 2)",[41.22202213 42.64850747 39.80979538 39.80979982 42.64850739],1
2,1,0,1,1,"(2, 2)",[3.60049122 4.35048614 4.75251629 4.35048601 4.75251642],4,"(2, 1)",[  3.40048539   4.15247182   4.55047184 -44.86159694   3.46900012],2,"(2, 3)",[3.80251642 4.5504908  4.95658223 3.73331056 4.95658224],4,"(1, 2)",[  3.4004861  -50.           3.46900011   4.15247577   4.55049048],4,"(3, 2)",[3.80251289 3.7333105  4.95657143 4.55047412 4.95658222],4
2,1,0,1,2,"(2, 2)",[37.0275864  35.6573076  38.41170229 35.65730482 38.41170416],4,"(2, 1)",[ 35.65729236  34.30056782  37.02725687 -14.69941067  37.02758704],4,"(2, 3)",[38.41170415 37.02757971 39.80980198 37.02758701 39.80980219],4,"(1, 2)",[ 35.65730668 -50.          37.027587    34.30064684  37.02757338],2,"(3, 2)",[38.41163423 37.02758649 39.80962203 37.0273025  39.80980188],4
2,1,0,1,original qtable,"(2, 2)",[37.0275864  35.6573076  38.41170229 35.65730482 38.41170416],4,"(2, 1)",[ 35.65729236  34.30056782  37.02725687 -14.69941067  37.02758704],4,"(2, 3)",[38.41170415 37.02757971 39.80980198 37.02758701 39.80980219],4,"(1, 2)",[ 35.65730668 -50.          37.027587    34.30064684  37.02757338],2,"(3, 2)",[38.41163423 37.02758649 39.80962203 37.0273025  39.80980188],4
2,1,0,2,1,"(4, 5)",[4.00658222 4.21270933 3.80251212 5.16270838 3.80250795],3,"(4, 4)",[4.2127059  5.37091852 4.95654887 5.37091785 4.1420976 ],1,"(4, 6)",[3.80249048 4.95656814 3.73327104 3.87242042 4.55043074],1,"(3, 5)",[4.2127093  4.28396659 4.14209826 5.37091852 4.95657668],3,"(5, 5)",[3.80251179 3.87242122 4.55033401 4.95656821 3.73323848],3
2,1,0,2,2,"(4, 5)",[39.80980183 41.22202241 38.41161949 41.22200351 38.41154665],1,"(4, 4)",[41.22195389 42.64850746 39.80920415 42.6484962  39.80978779],1,"(4, 6)",[38.41119725 39.80954433 37.02680847 39.80979599 37.02656597],3,"(3, 5)",[41.22202182 42.64716764 39.80980106 42.64850748 39.80971503],3,"(5, 5)",[38.41161296 39.80980153 37.02484121 39.80959102 37.02614668],1
2,1,0,2,original qtable,"(4, 5)",[39.80980183 41.22202241 38.41161949 41.22200351 38.41154665],1,"(4, 4)",[41.22195389 42.64850746 39.80920415 42.6484962  39.80978779],1,"(4, 6)",[38.41119725 39.80954433 37.02680847 39.80979599 37.02656597],3,"(3, 5)",[41.22202182 42.64716764 39.80980106 42.64850748 39.80971503],3,"(5, 5)",[38.41161296 39.80980153 37.02484121 39.80959102 37.02614668],1
2,1,0,3,1,"(4, 9)",[2.81239209 3.55773745 3.95645666 3.95645539 3.57026817],2,"(4, 8)",[3.00645378 3.76238241 4.15248126 4.15245346 2.93997745],2,"(4, 10)",[  2.62026812   3.38006537   3.76239207   2.68608225 -45.61993514],2,"(3, 9)",[2.5964118  3.3740028  2.65564449 3.75579533 3.37400294],3,"(5, 9)",[3.00645666 2.9399778  4.15248148 4.15248123 3.76239209],2
2,1,0,3,2,"(4, 9)",[31.62815344 30.31187189 32.95773076 32.95771228 30.31187183],2,"(4, 8)",[32.9576801  31.62799269 34.30073447 34.30035897 31.62815343],2,"(4, 10)",[ 30.31187088  29.00875096  31.62815299  31.62815345 -19.9912589 ],3,"(3, 9)",[30.08535904 28.88749986 31.27001268 31.49625107 28.88750222],3,"(5, 9)",[32.95773071 31.62815345 34.30073814 34.30073387 31.6281534 ],2
2,1,0,3,original qtable,"(4, 9)",[31.62815344 30.31187189 32.95773076 32.95771228 30.31187183],2,"(4, 8)",[32.9576801  31.62799269 34.30073447 34.30035897 31.62815343],2,"(4, 10)",[ 30.31187088  29.00875096  31.62815299  31.62815345 -19.9912589 ],3,"(3, 9)",[30.31187162 29.00874673 31.62815345 31.62807588 29.00874933],2,"(5, 9)",[32.95773071 31.62815345 34.30073814 34.30073387 31.6281534 ],2
2,1,0,4,1,"(5, 6)",[4.00658175 4.21265508 4.7525083  4.21270933 4.7524736 ],2,"(5, 5)",[4.21270916 4.28403173 4.95655267 5.37091852 4.14209803],3,"(5, 7)",[3.80248613 4.95340607 4.54995163 3.87241836 4.53477942],1,"(4, 6)",[4.21255508 5.36378486 4.14206486 4.28401341 4.954188  ],1,"(6, 6)",[3.80249202 3.87241852 4.55011897 4.95655034 4.55032544],3
2,1,0,4,2,"(5, 6)",[39.80979244 41.22120166 38.41157851 41.22202241 38.41088655],3,"(5, 5)",[41.22201903 42.6484703  39.80926298 42.64850748 39.80979632],3,"(5, 7)",[38.41113724 39.7616729  37.01711057 39.8097818  37.01732916],3,"(4, 6)",[41.21920175 42.57191353 39.80939739 42.64836836 39.77731164],3,"(6, 6)",[38.41125299 39.80978286 37.02128799 39.8092164  37.02458675],1
2,1,0,4,original qtable,"(5, 6)",[39.80979244 41.22120166 38.41157851 41.22202241 38.41088655],3,"(5, 5)",[41.22201903 42.6484703  39.80926298 42.64850748 39.80979632],3,"(5, 7)",[38.41113724 39.7616729  37.01711057 39.8097818  37.01732916],3,"(4, 6)",[41.21920175 42.57191353 39.80939739 42.64836836 39.77731164],3,"(6, 6)",[38.41125299 39.80978286 37.02128799 39.8092164  37.02458675],1
