k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
2,100,0,0,1,"(8, 2)",[4.12119658 5.39740369 4.99663366 4.91262782 5.34647323],1,"(8, 1)",[  3.95766155   5.21459123   4.81070417 -48.43969905   3.98697185],1,"(8, 3)",[4.39262352 5.60836764 5.23261801 4.36033951 5.59091784],1,"(7, 2)",[4.46461922 5.62599911 4.42207764 5.23207023 5.62822963],4,"(9, 2)",[4.0523447  4.09024934 4.77521877 4.81676076 5.24405213],4
2,100,0,0,2,"(8, 2)",[39.84615055 42.40935841 39.63987058 39.46758741 42.14550493],1,"(8, 1)",[ 39.36826195  40.93945737  38.60486371 -44.33870014  39.95446796],1,"(8, 3)",[42.06851063 44.09682089 41.50437159 41.42283052 44.019151  ],1,"(7, 2)",[42.75366908 44.11447985 41.90283747 41.28903731 44.49406068],4,"(9, 2)",[39.75409128 40.51218408 38.59993036 38.72599535 41.73305403],4
2,100,0,0,original qtable,"(8, 2)",[42.64850748 44.08940059 41.22202204 41.22202219 44.0894015 ],4,"(8, 1)",[ 41.22202236  42.64845087  39.8098006  -50.          42.64850748],4,"(8, 3)",[44.0894015  45.54484963 42.64850747 42.64850748 45.54485   ],4,"(7, 2)",[44.08939816 45.54484989 42.64850745 42.51865319 45.54484912],1,"(9, 2)",[41.22202213 42.64850747 39.80979538 39.80979982 42.64850739],1
2,100,0,1,1,"(2, 2)",[3.43527981 4.22845148 4.58831391 4.1742662  4.62940964],4,"(2, 1)",[  3.19816005   4.02384585   4.42025904 -45.03455608   3.23065302],2,"(2, 3)",[3.70729311 4.41019446 4.85043285 3.65540008 4.79849071],2,"(1, 2)",[  3.26152995 -47.83265377   3.29794111   4.035269     4.40382444],4,"(3, 2)",[3.59805808 3.56826872 4.74890458 4.40794288 4.82074746],4
2,100,0,1,2,"(2, 2)",[35.63841207 34.66496859 37.40378114 34.71973232 37.09765086],2,"(2, 1)",[ 34.1976093   33.31788251  35.66610091 -15.75018465  34.84746874],2,"(2, 3)",[37.65532035 36.39269585 39.20554837 36.61745973 38.87210821],2,"(1, 2)",[ 34.32653803 -48.11009734  35.05476117  33.54634559  36.26529526],4,"(3, 2)",[36.59866451 36.00287734 37.88039688 35.4197777  38.61184054],4
2,100,0,1,original qtable,"(2, 2)",[37.0275864  35.6573076  38.41170229 35.65730482 38.41170416],4,"(2, 1)",[ 35.65729236  34.30056782  37.02725687 -14.69941067  37.02758704],4,"(2, 3)",[38.41170415 37.02757971 39.80980198 37.02758701 39.80980219],4,"(1, 2)",[ 35.65730668 -50.          37.027587    34.30064684  37.02757338],2,"(3, 2)",[38.41163423 37.02758649 39.80962203 37.0273025  39.80980188],4
2,100,0,2,1,"(4, 5)",[3.69265065 3.90239581 3.45769869 5.031787   3.34402235],3,"(4, 4)",[4.09696325 5.25017965 4.81714904 5.24654725 4.04784591],1,"(4, 6)",[3.33486378 4.6757635  3.30804676 3.36195607 4.30041313],1,"(3, 5)",[3.89137626 3.91622214 3.86675571 5.19673409 4.66569221],3,"(5, 5)",[3.41851595 3.43450898 4.3732247  4.74454035 3.3969521 ],3
2,100,0,2,2,"(4, 5)",[36.04565484 38.94154553 36.06462909 39.89860959 35.93067776],3,"(4, 4)",[40.20213474 41.65121158 38.86761844 41.96691069 39.21978785],3,"(4, 6)",[35.74750643 36.04583056 35.21116585 36.28935224 33.44535616],3,"(3, 5)",[38.72115454 39.21807216 38.22874361 40.58230033 35.84440472],3,"(5, 5)",[35.28097427 35.60083497 34.72503154 37.41544455 34.84969737],3
2,100,0,2,original qtable,"(4, 5)",[39.80980183 41.22202241 38.41161949 41.22200351 38.41154665],1,"(4, 4)",[41.22195389 42.64850746 39.80920415 42.6484962  39.80978779],1,"(4, 6)",[38.41119725 39.80954433 37.02680847 39.80979599 37.02656597],3,"(3, 5)",[41.22202182 42.64716764 39.80980106 42.64850748 39.80971503],3,"(5, 5)",[38.41161296 39.80980153 37.02484121 39.80959102 37.02614668],1
2,100,0,3,1,"(4, 9)",[2.64084173 3.39141279 3.77260117 3.7597465  3.4405585 ],2,"(4, 8)",[2.78200754 3.64799148 4.0037955  3.92229269 2.74501469],2,"(4, 10)",[  2.45421571   3.20674071   3.68090625   2.47984456 -45.70387705],2,"(3, 9)",[2.37191085 3.26486226 2.38863991 3.62481102 3.18578524],3,"(5, 9)",[2.77228966 2.74910992 3.99703299 3.98503124 3.6752034 ],2
