k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
1,100,0,0,0,"(3, 2)",[38.032372   34.18339251 50.21773678 47.99556533 39.93929933],2,"(3, 1)",[37.84894425 43.37861968 43.37861968 -6.48629515 40.62968323],2.0,"(3, 3)",[45.90525552 45.70465404 46.20198006 45.70465404 50.        ],4.0,"(2, 2)",[40.20817411 43.35752735 40.36903644 43.35752737 40.35693134],3,"(4, 2)",[40.05598849 42.82636621 43.39095436 43.39095436 46.21608252],4.0
1,100,0,0,1,"(3, 2)",[39.64956959 40.07158601 44.25245437 42.08288495 45.76588814],4,"(3, 1)",[37.84894425 43.37861968 43.37861968 -6.48629515 40.62968323],2.0,"(3, 3)",[45.90525552 45.70465404 46.20198006 45.70465404 50.        ],4.0,"(2, 2)",[40.20817411 43.35752735 40.36903644 43.35752737 40.35693134],3,"(4, 2)",[40.05598849 42.82636621 43.39095436 43.39095436 46.21608252],4.0
1,100,0,0,original qtable,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4,"(3, 1)",[45.54485    44.08940147 44.08940149 -4.91059851 47.015     ],4.0,"(3, 3)",[48.5        47.015      47.01499999 47.015      50.        ],4.0,"(2, 2)",[45.54484998 44.08940142 47.015      44.08940149 47.015     ],2,"(4, 2)",[45.54485    47.015      44.08940146 44.08940144 47.01495711],1.0
1,100,0,1,0,"(2, 3)",[38.41442919 47.83345554 40.02825697 34.66798644 50.1357219 ],4,"(2, 2)",[41.49236237 43.47649328 41.8621287  43.47647597 41.85557397],1.0,"(2, 4)",[39.43560034 43.32660075 46.14248145 42.30867869 43.32659909],2.0,"(1, 3)",[37.40174688 -6.55300461 40.25109243 43.34853145 43.3485228 ],3,"(3, 3)",[45.86472994 45.68418862 50.         45.68364004 46.18928169],2.0
1,100,0,1,1,"(2, 3)",[40.06364427 41.90593895 45.86472996 40.5974662  44.16909574],2,"(2, 2)",[41.49236237 43.47649328 41.8621287  43.47647597 41.85557397],1.0,"(2, 4)",[39.43560034 43.32660075 46.14248145 42.30867869 43.32659909],2.0,"(1, 3)",[37.40174688 -6.55300461 40.25109243 43.34853145 43.3485228 ],3,"(3, 3)",[45.86472994 45.68418862 50.         45.68364004 46.18928169],2.0
1,100,0,1,original qtable,"(2, 3)",[47.01499994 45.5448493  48.5        45.54484965 45.54484869],2,"(2, 2)",[45.54484968 44.08939019 46.99958918 44.08932649 47.01499999],4.0,"(2, 4)",[45.54483189 44.08938296 47.0149875  47.01499986 44.0893787 ],3.0,"(1, 3)",[45.54484258 -4.91066703 47.01499996 44.08936588 44.08929189],2,"(3, 3)",[48.49999982 47.01499992 50.         47.01048772 47.01499752],2.0
1,100,1,0,1,"(4, 2)",[38.37032513 44.52307106 40.37499046 40.81433982 45.36027997],4,"(4, 1)",[ 37.34785121  42.01300284  42.02642335 -50.          31.48769416],2.0,"(4, 3)",[40.80907702 47.5717898   0.         40.1995657   0.        ],1.0,"(3, 2)",[39.5909694  41.038617   42.80749537 41.32764456 47.2657472 ],4,"(5, 2)",[24.71705746 41.0680822  42.12454951 28.7409961   0.        ],2.0
1,100,1,0,original qtable,"(4, 2)",[40.05598849 42.82636621 43.39095436 43.39095436 46.21608252],4,"(4, 1)",[ 44.08940149  45.54485     42.64850622 -50.           0.        ],1.0,"(4, 3)",[47.01499999 48.5         0.          0.          0.        ],1.0,"(3, 2)",[39.64956959 40.07158601 44.25245437 42.08288495 45.76588814],4,"(5, 2)",[ 0.         45.54485    42.64850699  0.          0.        ],1.0
1,100,1,1,1,"(2, 4)",[38.90809481 41.37334589 45.69286248 43.74670685 41.24820835],2,"(2, 3)",[39.62539217 41.30198677 47.22728304 41.18506073 42.85868786],2.0,"(2, 5)",[35.7322943  41.93971399 41.93968272 38.61160905 39.20320717],1.0,"(1, 4)",[35.42052098 -8.04033888 38.35504628 41.36608896 41.91727449],4,"(3, 4)",[41.44433099 43.77338545 47.65009355 47.65009462 35.59820444],3.0
1,100,1,1,original qtable,"(2, 4)",[39.43560034 43.32660075 46.14248145 42.30867869 43.32659909],2,"(2, 3)",[40.06364427 41.90593895 45.86472996 40.5974662  44.16909574],2.0,"(2, 5)",[44.08936574 42.64829034 42.64794992 45.54484637 39.79679229],3.0,"(1, 4)",[44.08938457 -6.35162086 45.54484791 45.54484702 42.64835671],2,"(3, 4)",[47.01499443 45.54484443 48.49999542 48.49999993  0.        ],3.0
