k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
1,5,0,0,0,"(3, 2)",[4.0458     3.3967645  5.7842645  5.70180691 3.8275    ],2,"(3, 1)",[44.76620387 43.74326064 43.74326064 -5.25673936 46.14702537],4,"(3, 3)",[47.645   46.44215 46.6464  46.44215 50.     ],4.0,"(2, 2)",[45.54485   44.0894015 47.015     42.2204007  0.       ],2,"(4, 2)",[45.54485 47.015    0.       0.       0.     ],1.0
1,5,0,0,1,"(3, 2)",[46.621   45.10679 45.35679 45.35679 48.05   ],4,"(3, 1)",[44.76620387 43.74326064 43.74326064 -5.25673936 46.14702537],4,"(3, 3)",[47.645   46.44215 46.6464  46.44215 50.     ],4.0,"(2, 2)",[45.54485   44.0894015 47.015     42.2204007  0.       ],2,"(4, 2)",[45.54485 47.015    0.       0.       0.     ],1.0
1,5,0,0,original qtable,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4,"(3, 1)",[45.54485   44.0894015 44.0894015 -4.9105985 47.015    ],4,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4.0,"(2, 2)",[45.54485   44.0894015 47.015     42.2204007  0.       ],2,"(4, 2)",[45.54485 47.015    0.       0.       0.     ],1.0
1,5,0,1,0,"(2, 3)",[4.0457999  5.74086436 3.8275     3.33839845 5.74831901],4,"(2, 2)",[45.10675804 43.90618437 46.4298997  43.90470776 46.42992449],4,"(2, 4)",[44.78906692 43.74165854 46.64635016 46.15333067 43.74256261],2.0,"(1, 3)",[45.15672216 -5.09310103 46.57992377 43.90665755 43.90681646],2,"(3, 3)",[48.49999973 47.01499778 50.         47.0149842  47.01496448],2.0
1,5,0,1,1,"(2, 3)",[46.62099791 45.31543206 48.05       45.05111248 45.33831494],2,"(2, 2)",[45.10675804 43.90618437 46.4298997  43.90470776 46.42992449],4,"(2, 4)",[44.78906692 43.74165854 46.64635016 46.15333067 43.74256261],2.0,"(1, 3)",[45.15672216 -5.09310103 46.57992377 43.90665755 43.90681646],2,"(3, 3)",[48.49999973 47.01499778 50.         47.0149842  47.01496448],2.0
1,5,0,1,original qtable,"(2, 3)",[47.01499768 45.54482145 48.5        45.54474406 45.54480577],2,"(2, 2)",[45.54481455 44.08825388 47.01497194 44.08664489 47.01499949],4,"(2, 4)",[45.54480884 44.08742686 47.01493862 47.01499431 44.0885765 ],3.0,"(1, 3)",[45.54477476 -4.91095394 47.01499876 44.08877963 44.08895234],2,"(3, 3)",[48.49999973 47.01499778 50.         47.0149842  47.01496448],2.0
1,5,1,0,0,"(4, 2)",[ 3.5456384   1.37410982 -1.00209126  3.94948683  4.26826625],4,"(4, 1)",[44.0894015  45.54485     0.         -6.35149252  0.        ],1,"(4, 3)",[47.015      48.5         0.          0.         47.31933958],1.0,"(3, 2)",[4.0458     3.3967645  5.7842645  5.70180691 3.8275    ],2,"(5, 2)",[-0.588525 -0.398525 -0.3705   -0.3705   -0.3705  ],2.0
1,5,1,0,1,"(4, 2)",[44.10785102 35.4920939  -0.33787525 11.45452163 12.215325  ],0,"(4, 1)",[44.0894015  45.54485     0.         -6.35149252  0.        ],1,"(4, 3)",[47.015      48.5         0.          0.         47.31933958],1.0,"(3, 2)",[4.0458     3.3967645  5.7842645  5.70180691 3.8275    ],2,"(5, 2)",[-0.588525 -0.398525 -0.3705   -0.3705   -0.3705  ],2.0
1,5,1,0,original qtable,"(4, 2)",[45.54485 47.015    0.       0.       0.     ],1,"(4, 1)",[44.0894015  45.54485     0.         -6.35149252  0.        ],1,"(4, 3)",[47.015      48.5         0.          0.         47.31933958],1.0,"(3, 2)",[4.0458     3.3967645  5.7842645  5.70180691 3.8275    ],2,,,
1,5,1,1,0,"(2, 4)",[3.78855361 5.53359023 5.98196069 2.05093211 5.5216166 ],2,"(2, 3)",[3.88731021 9.49187068 8.09475    7.31540143 5.87521483],1,"(2, 5)",[43.34448974 42.30955097 45.18694346 44.69802504 42.30805148],2.0,"(1, 4)",[43.70679342 -6.5288976  45.11704461 45.3154446  42.46924176],3,"(3, 4)",[47.01491224 45.54475443 45.54463575 48.49999936 45.54430559],3.0
1,5,1,1,1,"(2, 4)",[44.44156349 43.57245993 46.48921508 41.98408791 43.57713935],2,"(2, 3)",[3.88731021 9.49187068 8.09475    7.31540143 5.87521483],1,"(2, 5)",[43.34448974 42.30955097 45.18694346 44.69802504 42.30805148],2.0,"(1, 4)",[43.70679342 -6.5288976  45.11704461 45.3154446  42.46924176],3,"(3, 4)",[47.01491224 45.54475443 45.54463575 48.49999936 45.54430559],3.0
1,5,1,1,original qtable,"(2, 4)",[44.78906692 43.74165854 46.64635016 46.15333067 43.74256261],2,"(2, 3)",[4.0457999  5.74086436 3.8275     3.33839845 5.74831901],4,"(2, 5)",[44.08837798 42.64394597 45.54412964 45.54468499 42.64239426],3.0,"(1, 4)",[44.08892673 -6.35263959 45.54476138 45.54483538 42.64538282],3,"(3, 4)",[47.01491224 45.54475443 45.54463575 48.49999936 45.54430559],3.0
1,5,2,0,0,"(4, 3)",[ 4.10825     3.85       -0.13639625 -0.15685074  3.66437185],0,"(4, 2)",[ 3.29655985  1.68620397 -1.03707964  7.7812989   8.34893962],4,"(4, 4)",[45.93520915 48.66741967 -0.3705      8.56425    -0.3705    ],1.0,"(3, 3)",[47.645   46.44215 46.6464  46.44215 50.     ],4,"(5, 3)",[-0.1417875   8.56425    -0.3705     -0.25687525 -0.3705    ],1.0
1,5,2,0,1,"(4, 3)",[47.015      48.5         0.          0.         47.31933958],1,"(4, 2)",[ 3.29655985  1.68620397 -1.03707964  7.7812989   8.34893962],4,"(4, 4)",[45.93520915 48.66741967 -0.3705      8.56425    -0.3705    ],1.0,"(3, 3)",[47.645   46.44215 46.6464  46.44215 50.     ],4,"(5, 3)",[-0.1417875   8.56425    -0.3705     -0.25687525 -0.3705    ],1.0
1,5,2,0,original qtable,"(4, 3)",[47.015      48.5         0.          0.         47.31933958],1,"(4, 2)",[ 3.5456384   1.37410982 -1.00209126  3.94948683  4.26826625],4,"(4, 4)",[46.48995422 49.86305363  0.          0.          0.        ],1.0,"(3, 3)",[47.645   46.44215 46.6464  46.44215 50.     ],4,,,
1,5,2,1,0,"(3, 4)",[4.04579599 1.69121453 3.28032113 3.82749997 5.7429029 ],4,"(3, 3)",[48.04999976 43.11522571 50.         46.82098572 46.71346803],2,"(3, 5)",[45.15546675 43.87281429 43.89853382 46.57987516  3.95092591],3.0,"(2, 4)",[3.78855361 5.53359023 5.98196069 2.05093211 5.5216166 ],2,"(4, 4)",[44.65625018 45.8477446  -0.3705      9.5         8.0306256 ],1.0
1,5,2,1,1,"(3, 4)",[46.62092095 41.45856525 44.99570792 48.04999942 45.35629527],3,"(3, 3)",[48.04999976 43.11522571 50.         46.82098572 46.71346803],2,"(3, 5)",[45.15546675 43.87281429 43.89853382 46.57987516  3.95092591],3.0,"(2, 4)",[3.78855361 5.53359023 5.98196069 2.05093211 5.5216166 ],2,"(4, 4)",[44.65625018 45.8477446  -0.3705      9.5         8.0306256 ],1.0
1,5,2,1,original qtable,"(3, 4)",[47.01491224 45.54475443 45.54463575 48.49999936 45.54430559],3,"(3, 3)",[48.49999973 47.01499778 50.         47.0149842  47.01496448],2,"(3, 5)",[45.54338501 44.08894963 44.07987641 47.01494991  0.        ],3.0,"(2, 4)",[3.78855361 5.53359023 5.98196069 2.05093211 5.5216166 ],2,"(4, 4)",[45.54398815 47.01496891  0.          0.          0.        ],1.0
1,5,3,0,0,"(4, 3)",[-2.25430375  3.9925     -0.19699948  0.10900079  3.88067654],1,"(4, 2)",[ 3.46005313  1.9670887  -1.06856917 11.22992976  7.80432941],3,"(4, 4)",[45.43464817 48.92060993 -0.670605    7.48858162 -0.670605  ],1.0,"(3, 3)",[47.3305     46.305435   42.27204375 42.24744013 50.        ],4,"(5, 3)",[ 0.385995    7.99810875 -0.52845    -0.36638522 -0.52845   ],1.0
1,5,3,0,1,"(4, 3)",[ 4.10825     3.85       -0.13639625 -0.15685074  3.66437185],0,"(4, 2)",[ 3.46005313  1.9670887  -1.06856917 11.22992976  7.80432941],3,"(4, 4)",[45.43464817 48.92060993 -0.670605    7.48858162 -0.670605  ],1.0,"(3, 3)",[47.3305     46.305435   42.27204375 42.24744013 50.        ],4,"(5, 3)",[ 0.385995    7.99810875 -0.52845    -0.36638522 -0.52845   ],1.0
