k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
2,15,1,1,2,"(2, 4)",[32.61712832 34.43494577 36.96959942 28.28186969 34.61250565],2,"(2, 3)",[2.01087959 3.9941213  2.63586373 1.35869247 4.08287704],4,"(2, 5)",[42.67595048 42.03869102 44.84767864 44.1211846  42.03723383],2,"(1, 4)",[42.37851965 -7.0975762  44.47356615 43.56115167 41.92406759],2,"(3, 4)",[46.62092095 45.39777893 45.35659423 47.5913038  45.33786574],3
2,15,1,1,original qtable,"(2, 4)",[33.01729201 32.79156703 35.17490816 34.24063011 32.918498  ],2,"(2, 3)",[2.01087959 3.9941213  2.63586373 1.35869247 4.08287704],4,"(2, 5)",[43.70628526 42.4679486  45.35613691 45.35664095 42.46642438],3,"(1, 4)",[42.68133333 -6.95879088 44.89805166 44.89810166 42.03963373],3,"(3, 4)",[47.01491224 45.54475443 45.54463575 48.49999936 45.54430559],3
2,15,2,0,0,"(2, 1)",[  0.78920362   3.29021494   0.69627275 -52.66086599   2.48426119],1,"(2, 0)",[-52.97498437 -48.52943933 -31.25270946 -33.73748438 -33.73748438],2,"(2, 2)",[23.17888362 28.13486917 17.32985234 24.13868916 22.12763173],1,"(1, 1)",[ 29.45212229 -18.52137931  30.64447316 -34.22268651  19.52621445],2,"(3, 1)",[ -0.10651475   1.65414871   9.59825212 -48.10101481   4.96183241],2
2,15,2,0,1,"(2, 1)",[ 22.2824526   26.57979989  14.6887759  -43.83717188  15.22897246],1,"(2, 0)",[-52.97498437 -48.52943933 -31.25270946 -33.73748438 -33.73748438],2,"(2, 2)",[23.17888362 28.13486917 17.32985234 24.13868916 22.12763173],1,"(1, 1)",[ 29.45212229 -18.52137931  30.64447316 -34.22268651  19.52621445],2,"(3, 1)",[ -0.10651475   1.65414871   9.59825212 -48.10101481   4.96183241],2
2,15,2,0,2,"(2, 1)",[ 31.33189551  32.56164075  29.93858675 -31.2375      12.79397692],1,"(2, 0)",[-50.475      -49.26545726 -12.76834169  -9.975       -9.975     ],3,"(2, 2)",[31.74115831 35.1086927  27.18332229 32.65653838 19.78667559],1,"(1, 1)",[ 40.81916158  -8.47657724  42.22411078 -19.14597764  16.98520909],2,"(3, 1)",[  1.00113274   3.6025295    3.52896519 -48.23845822   1.1453856 ],1
2,15,2,0,original qtable,"(2, 1)",[ 31.66364574  31.74627505  32.99594049 -28.625       10.69541241],2,"(2, 0)",[-50.        -50.         -4.9105985   0.          0.       ],3,"(2, 2)",[32.30737958 33.61491352 30.38447111 33.03693507 14.49394894],1,"(1, 1)",[42.27214988 -7.94857167 43.8893564  -5.          4.14769092],2,"(3, 1)",[  1.00113274   3.6025295    3.52896519 -48.23845822   1.1453856 ],1
2,15,2,1,0,"(3, 4)",[1.16665833 1.21302563 3.68799544 5.11937136 3.6811243 ],3,"(3, 3)",[28.09386682 16.16218323 48.32805445 29.65121641 29.39603605],2,"(3, 5)",[32.18886215 28.74369146 32.73247165 33.4449087  16.3138447 ],3,"(2, 4)",[ 2.31347956 13.47860565  4.13139241  5.67785573 14.27639373],4,"(4, 4)",[32.21606811 33.51623875  0.65341171 32.68625    17.46871244],1
2,15,2,1,1,"(3, 4)",[24.16133128 16.1353646  29.07905514 29.56412383 29.07715944],3,"(3, 3)",[28.09386682 16.16218323 48.32805445 29.65121641 29.39603605],2,"(3, 5)",[32.18886215 28.74369146 32.73247165 33.4449087  16.3138447 ],3,"(2, 4)",[ 2.31347956 13.47860565  4.13139241  5.67785573 14.27639373],4,"(4, 4)",[32.21606811 33.51623875  0.65341171 32.68625    17.46871244],1
2,15,2,1,2,"(3, 4)",[33.07477879 28.6500988  35.60324104 36.37482576 35.65439109],3,"(3, 3)",[35.49007416 25.61291397 46.48011462 35.88223877 37.12621991],2,"(3, 5)",[44.41587047 41.52891621 43.58843799 45.95491584 10.70700922],3,"(2, 4)",[ 1.76191978 10.63716354  4.48384155  3.54064553 11.07144732],4,"(4, 4)","[ 4.44180052e+01  4.60499434e+01 -2.34467447e-02  1.35500000e+01
  1.14542081e+01]",1
2,15,2,1,original qtable,"(3, 4)",[33.68729056 33.6312981  33.8310814  34.78415441 33.91551191],3,"(3, 3)",[34.90179735 27.43003726 46.08901625 35.22884869 36.56734335],2,"(3, 5)",[45.15546675 43.88893556 43.89853382 46.82095486  3.95092591],3,"(2, 4)",[1.21992081 3.5261135  3.86214031 1.02759199 3.66370802],2,"(4, 4)",[44.78020161 46.48235516 -0.3705      9.5         8.0306256 ],1
2,15,3,0,0,"(1, 1)",[  0.23550415 -48.07636306   0.61551562 -52.25369769   2.94984692],4,"(1, 0)",[-50.07844471 -50.98026902 -59.63233561 -30.84094471 -26.96373823],4,"(1, 2)",[ 29.48239019 -17.50732889  25.75875412  18.98970558  21.73704364],0,"(0, 1)",[-18.18954448 -18.18954448   5.76303593 -27.14895627 -14.09785871],2,"(2, 1)","[ 2.48327542e-02  1.66651510e+00  3.27894995e+00 -6.08250006e+01
  9.73040893e+00]",4
2,15,3,0,1,"(1, 1)",[ 19.94732859 -22.4770294   12.82253536 -43.84285123  21.98039704],4,"(1, 0)",[-50.07844471 -50.98026902 -59.63233561 -30.84094471 -26.96373823],4,"(1, 2)",[ 29.48239019 -17.50732889  25.75875412  18.98970558  21.73704364],0,"(0, 1)",[-18.18954448 -18.18954448   5.76303593 -27.14895627 -14.09785871],2,"(2, 1)","[ 2.48327542e-02  1.66651510e+00  3.27894995e+00 -6.08250006e+01
  9.73040893e+00]",4
