k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
2,200,0,0,0,"(3, 2)",[1.61694729 0.72087947 3.53126763 3.5785857  1.69934402],3,"(3, 1)",[ 29.96949423  29.64153071  31.14594912 -18.11393795  31.04736153],2,"(3, 3)",[28.09184784 27.96789391 32.07732866 27.91260026 37.56554592],4,"(2, 2)",[25.66508568 26.72010219 25.75941853 28.49194355 22.56538964],3,"(4, 2)",[29.66666915 30.73674972 14.01470503 24.53412229 25.6476142 ],1
2,200,0,0,1,"(3, 2)",[29.68956548 26.78289671 31.22552816 31.39441067 29.11234317],3,"(3, 1)",[ 29.96949423  29.64153071  31.14594912 -18.11393795  31.04736153],2,"(3, 3)",[28.09184784 27.96789391 32.07732866 27.91260026 37.56554592],4,"(2, 2)",[25.66508568 26.72010219 25.75941853 28.49194355 22.56538964],3,"(4, 2)",[29.66666915 30.73674972 14.01470503 24.53412229 25.6476142 ],1
2,200,0,0,2,"(3, 2)",[41.2249791  38.61071629 42.27078784 42.38621461 40.9865202 ],3,"(3, 1)",[41.59691683 39.71834757 42.08407867 -7.27142286 42.760848  ],4,"(3, 3)",[38.83810899 38.57715334 41.65531454 38.46074566 23.82220193],2,"(2, 2)",[36.25742992 35.82426537 36.45602538 37.29816407 29.73175404],3,"(4, 2)",[41.19950571 42.34704376 12.96159845 28.16444324 28.11907356],1
2,200,0,0,original qtable,"(3, 2)",[47.015   45.54485 45.54485 45.54485 48.5    ],4,"(3, 1)",[45.54485   44.0894015 44.0894015 -4.9105985 47.015    ],4,"(3, 3)",[48.5   47.015 47.015 47.015 50.   ],4,"(2, 2)",[45.54485   44.0894015 47.015     42.2204007  0.       ],2,"(4, 2)",[45.54485 47.015    0.       0.       0.     ],1
2,200,0,1,0,"(2, 3)",[1.48741959 3.43453528 1.87374238 0.85746164 3.57796091],4,"(2, 2)",[25.96945971 29.1213849  26.0313518  30.12928239 25.99310762],3,"(2, 4)",[29.39509115 30.5822318  31.45479011 30.45425861 31.56142086],4,"(1, 3)",[ 28.56491011 -19.46434417  29.61089721  29.61233313  30.34425907],4,"(3, 3)",[29.47644166 29.0998771  39.58434547 29.0722619  31.29455563],2
2,200,0,1,1,"(2, 3)",[28.6226065  30.03661335 28.76459119 26.40359625 30.59251853],4,"(2, 2)",[25.96945971 29.1213849  26.0313518  30.12928239 25.99310762],3,"(2, 4)",[29.39509115 30.5822318  31.45479011 30.45425861 31.56142086],4,"(1, 3)",[ 28.56491011 -19.46434417  29.61089721  29.61233313  30.34425907],4,"(3, 3)",[29.47644166 29.0998771  39.58434547 29.0722619  31.29455563],2
2,200,0,1,2,"(2, 3)",[39.71284121 40.53167484 40.21852534 36.8044587  41.12111356],4,"(2, 2)",[35.89048703 38.01180172 36.02078617 39.03484215 35.94027211],3,"(2, 4)",[40.81074012 41.5316267  41.71178339 41.93530319 42.03170827],4,"(1, 3)",[39.64387854 -8.91414831 40.74069349 39.04537693 41.03063148],4,"(3, 3)",[41.71715792 40.92439042 28.07230626 40.86625316 41.37444766],0
2,200,0,1,original qtable,"(2, 3)",[47.01499768 45.54482145 48.5        45.54474406 45.54480577],2,"(2, 2)",[45.54481455 44.08825388 47.01497194 44.08664489 47.01499949],4,"(2, 4)",[45.54480884 44.08742686 47.01493862 47.01499431 44.0885765 ],3,"(1, 3)",[45.54477476 -4.91095394 47.01499876 44.08877963 44.08895234],2,"(3, 3)",[48.49999973 47.01499778 50.         47.0149842  47.01496448],2
2,200,1,0,0,"(3, 1)",[  0.76875492   3.08324109   2.82627728 -52.10770842   2.61312488],1,"(3, 0)",[-46.04820793 -33.27826074 -21.77800371 -46.09052157 -40.07048758],2,"(3, 2)",[15.0497016  22.968741   24.50854444 16.23674672 27.3708236 ],4,"(2, 1)",[ 25.09958383  28.5294868   26.18422234 -28.855579    25.92661658],1,"(4, 1)",[ 23.81419244  24.8629944   17.03432068 -22.61765618  26.6159041 ],4
2,200,1,0,1,"(3, 1)",[ 22.10338453  26.45879679  24.95532774 -50.77596144  19.25793279],1,"(3, 0)",[-46.04820793 -33.27826074 -21.77800371 -46.09052157 -40.07048758],2,"(3, 2)",[15.0497016  22.968741   24.50854444 16.23674672 27.3708236 ],4,"(2, 1)",[ 25.09958383  28.5294868   26.18422234 -28.855579    25.92661658],1,"(4, 1)",[ 23.81419244  24.8629944   17.03432068 -22.61765618  26.6159041 ],4
