k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
3,100,0,0,0,"(7, 4)",[40.85963605 38.27185707 47.43386927 47.43911745 38.10229714],3,"(7, 3)",[40.26229293 39.57753654 40.20083132 40.09673067 41.59804354],4,"(7, 5)",[43.65566531 44.4369639  42.5262598  42.76798199 42.51704057],1,"(6, 4)",[43.99315889 42.50518765 43.13373351 39.68936309 44.86127025],4,"(8, 4)",[39.48723225 40.55964155 -9.60769916 25.44666702 41.93942477],4
3,100,0,0,1,"(7, 4)",[42.92928271 44.455596   41.61069324 41.65255924 44.31198396],1,"(7, 3)",[40.26229293 39.57753654 40.20083132 40.09673067 41.59804354],4,"(7, 5)",[43.65566531 44.4369639  42.5262598  42.76798199 42.51704057],1,"(6, 4)",[43.99315889 42.50518765 43.13373351 39.68936309 44.86127025],4,"(8, 4)",[39.48723225 40.55964155 -9.60769916 25.44666702 41.93942477],4
3,100,0,0,2,"(7, 4)",[43.52196838 44.83695963 41.90653312 41.95754585 44.72240365],1,"(7, 3)",[40.85724995 39.79950844 40.37721586 40.28281422 42.00808396],4,"(7, 5)",[43.99316071 44.86127025 42.70270665 43.00684591 42.68362844],1,"(6, 4)",[44.32314062 42.72163762 43.36822353 39.92376017 45.2877088 ],4,"(8, 4)",[39.99157646 40.84980901 -9.40406403 23.98369998 42.05066774],4
3,100,0,0,3,"(7, 4)",[43.80722209 45.21545784 42.21433395 42.25292031 45.13341257],1,"(7, 3)",[41.47481377 40.14187756 40.545061   40.46379888 42.42018488],4,"(7, 5)",[44.32314263 45.2877088  42.97325154 43.2272373  42.96435937],1,"(6, 4)",[44.64454783 43.0461106  43.58352884 40.27993503 45.71629025],4,"(8, 4)",[40.53104878 41.15130716 -9.19484075 22.33004335 42.24876385],4
3,100,0,0,original qtable,"(7, 4)",[44.08940149 45.54484996 42.64850722 42.64850714 45.54485   ],4,"(7, 3)",[42.64850664 41.22201201 41.22202078 41.22201565 44.08940149],4,"(7, 5)",[45.54484886 47.015      44.08940135 44.08940077 44.08929707],1,"(6, 4)",[45.54484579 44.08939925 44.08940136 41.22200616 47.015     ],4,"(8, 4)",[42.64850568 44.08940146 -7.77798489  0.         44.08939869],1
3,100,0,1,1,"(2, 3)",[44.011813   41.79644538 46.36864991 40.68707204 46.85226147],4,"(2, 2)",[41.03534128 41.93213037 41.16402375 40.08537445 41.96819615],4,"(2, 4)",[46.89829999 45.36294395 50.         46.49397099 45.36294576],2,"(1, 3)",[42.87377657 -6.46076105 44.04190005 16.47757798 17.24308589],2,"(3, 3)",[45.90842343 46.20876342  6.06732638 18.35224556 49.84783736],4
3,100,0,1,2,"(2, 3)",[44.50792205 41.85816041 46.37190169 40.84551429 46.89140163],4,"(2, 2)",[41.67692456 42.08184309 41.16784236 40.22253242 42.38009663],4,"(2, 4)",[47.38699999 45.51406034 50.         46.60441221 45.51406235],2,"(1, 3)",[43.49963951 -6.11256647 44.46422116 13.7990071  14.2697736 ],2,"(3, 3)",[46.30498338 46.30536114  4.60238204 15.82142214 49.8309304 ],4
3,100,0,1,3,"(2, 3)",[45.05456382 41.99304142 46.37749769 41.08897548 46.9348907 ],4,"(2, 2)",[42.01276466 42.29926377 41.21643079 40.75547326 42.79406697],4,"(2, 4)",[47.92999999 45.7828576  50.         46.72712468 45.78285983],2,"(1, 3)",[43.81690709 -5.74782519 44.88866448 10.87389045 11.06698345],2,"(3, 3)",[46.74758846 46.41467486  3.37903198 13.05374166 49.81214489],4
3,100,0,1,original qtable,"(2, 3)",[47.01499994 45.54483662 47.56891616 45.54484453 48.5       ],4,"(2, 2)",[45.54484187 44.08926091 44.08934967 44.08922415 47.01499999],4,"(2, 4)",[48.49999999 47.01499502 50.         47.01496874 47.01499778],2,"(1, 3)",[45.54482413 -4.91098273 47.01499888  0.          0.        ],2,"(3, 3)",[47.52241284 47.01499995  0.          0.         49.71367916],4
3,100,0,2,1,"(1, 1)",[ 31.23801721 -29.37345691  33.03388313 -31.03325571  32.92763536],2,"(1, 0)",[-30.82661606 -67.82224987 -16.61470235 -30.82661606 -11.32270353],4,"(1, 2)",[ 31.58287709 -16.88786054  32.65877394  31.49974078  32.7629372 ],4,"(0, 1)",[-28.02548984 -28.02548984  -6.35447591 -67.38543871 -16.38902557],2,"(2, 1)",[ 33.04007255  32.5390297   34.72882464 -16.10621716  34.82015511],4
3,100,0,2,2,"(1, 1)",[ 31.75526995 -26.93792788  33.1170401  -28.25508945  33.24499224],4,"(1, 0)",[-28.02548984 -67.22242478 -16.32045409 -28.02548984  -6.35447591],4,"(1, 2)",[ 32.19526084 -16.62287007  32.63580267  31.76955382  32.70676144],4,"(0, 1)",[-25.44018668 -25.44018668  -1.36128232 -66.73707904 -16.068609  ],2,"(2, 1)",[ 33.56836168  32.67831406  34.93197508 -15.75547055  35.0373373 ],4
3,100,0,2,3,"(1, 1)",[ 32.28156954 -24.76149237  33.59087133 -25.69529736  33.70376169],4,"(1, 0)",[-25.44018668 -66.87086457 -16.03458729 -25.44018668  -1.36128232],4,"(1, 2)",[ 32.53739346 -16.36629994  32.72652054  32.06438566  32.75375501],4,"(0, 1)",[-23.09733549 -23.09733549   3.6570027  -66.33159153 -15.7504543 ],2,"(2, 1)",[ 34.09233975  33.10339795  35.27350774 -15.40682779  35.39489236],4
3,100,0,2,original qtable,"(1, 1)",[ 34.30073814 -16.04226924  35.65731125 -16.04226924  35.65731125],4,"(1, 0)",[-16.04226924 -65.88184655 -14.69926192 -16.04226924  34.30073814],4,"(1, 2)",[ 35.65731125 -14.69926186  37.02758712  34.30073814  37.02758712],2,"(0, 1)",[-16.04226924 -16.04226924  34.30073814 -65.88184655 -14.69926186],2,"(2, 1)",[ 35.65731125  34.30073814  37.02758712 -14.69926194  37.02758712],4
3,100,0,4,1,"(1, 6)",[ 37.64463294 -16.70399702  38.96208624  37.63702126  37.60124787],2,"(1, 5)",[ 37.17607633 -11.89964779  38.605226    35.70925045  38.4215394 ],2,"(1, 7)",[ 37.63580775 -11.87493626  39.13849998  38.55736609  36.72527725],2,"(0, 6)",[-14.31748229 -14.31743823  15.45047876 -11.62316749 -11.82898456],2,"(2, 6)",[39.28460909 38.90232575 41.25426059 38.68424885 38.98189003],2
3,100,0,4,2,"(1, 6)",[ 38.26482426 -15.17395032  39.01359059  37.83281955  37.72947286],2,"(1, 5)",[ 37.76510296 -11.73337526  38.63851177  35.72535773  38.81561749],4,"(1, 7)",[ 38.21231718 -11.62992448  39.41812938  38.90293756  36.86511995],2,"(0, 6)",[-12.5222673  -12.52221833  20.55324499 -11.42617493 -11.57886703],2,"(2, 6)",[39.81639377 39.05830117 41.5774179  38.72631494 39.24411833],2
3,100,0,4,3,"(1, 6)",[ 38.94038582 -14.01523042  39.14186344  38.00856705  37.93841364],2,"(1, 5)",[ 38.37777084 -11.57536087  38.77255404  35.84536962  39.21167587],4,"(1, 7)",[ 38.47490733 -11.38069413  39.84105881  39.2422633   37.10185704],2,"(0, 6)",[-11.06891595 -11.06886155  25.68165326 -11.23402717 -11.32396362],2,"(2, 6)",[40.03386696 39.19154186 41.95698421 38.87011312 39.6477132 ],2
3,100,0,4,original qtable,"(1, 6)",[41.22202237 -9.1902044  42.64850748 39.80979791 39.80978078],2,"(1, 5)",[ 39.8097967  -10.5883829   41.22201509  38.41152504  41.22202219],4,"(1, 7)",[ 39.809785   -10.58843206  41.22187721  41.22202201  38.4116573 ],3,"(0, 6)",[ -9.19028135  -9.19020673  41.22202209 -10.58842689 -10.58847761],2,"(2, 6)",[42.6485073  41.22202233 44.0894015  41.22201941 41.22196273],2
3,100,0,5,1,"(5, 8)",[ 38.53929388  37.50573942  40.52281065  40.93893786 -25.82921235],3,"(5, 7)",[40.97408642 40.30818698 42.93914642 42.80524946 40.56908489],2,"(5, 9)",[-21.40605405 -12.10999017  -9.41054654   0.29475375 -23.25700592],3,"(4, 8)",[ 37.05546509  35.97958164  37.84787584  39.30788503 -12.25461285],3,"(6, 8)",[39.90296999 39.85891494 39.83046887 42.01152056 -9.52053843],3
3,100,0,5,2,"(5, 8)",[ 39.0448855   37.6260044   40.68745231  41.04102026 -23.70526845],3,"(5, 7)",[41.52451865 40.50445152 43.17915398 43.10476678 40.74118362],2,"(5, 9)",[-18.79064812 -11.88058769  -9.19487234   5.32136055 -20.8472613 ],3,"(4, 8)",[ 37.57014403  36.16182713  38.11726708  39.39300492 -12.04127956],3,"(6, 8)",[40.44318491 40.06090153 39.98328109 42.14845858 -9.31708554],3
3,100,0,5,3,"(5, 8)",[ 39.59884963  37.86230428  40.84298686  41.11495611 -21.87858331],3,"(5, 7)",[42.09662099 40.70789375 43.55326064 43.55326064 40.8929154 ],3,"(5, 9)",[-16.41789406 -11.65163491  -8.97159393  10.37322668 -18.70301982],3,"(4, 8)",[ 37.80023721  36.45549456  38.40815171  39.47295308 -11.83018143],3,"(6, 8)",[41.01602309 40.25793044 40.12675269 42.40804353 -9.10738637],3
3,100,0,5,original qtable,"(5, 8)",[41.22202241 39.80980218 42.64850746 42.64850748 -9.19019782],3,"(5, 7)",[42.64850748 41.22202241 44.0894015  44.0894015  41.22202241],3,"(5, 9)",[ -9.19019784 -10.58875932  -7.77797771  41.22202241  -9.19019782],3,"(4, 8)",[ 39.80980218  38.41170413  41.22202241  41.22202241 -10.58922224],2,"(6, 8)",[42.64850747 41.22202241 41.22202237 44.0894015  -7.77797777],3
3,100,0,6,0,"(6, 5)",[42.50231302 47.71073856 37.24485917 40.86226147 43.16332029],1,"(6, 4)",[47.4683     50.         46.49399146 42.67278046 46.49399149],1,"(6, 6)",[37.70767562 39.85872775  2.27137771 35.11267271 12.03741578],1,"(5, 5)",[41.38280092 42.16923022 42.65596922 26.085155   38.94290217],2,"(7, 5)",[17.0993829  44.86127025  5.15643015 17.00913936  3.5422812 ],1
3,100,0,6,1,"(6, 5)",[44.50792208 41.84269053 43.31448722 46.79140163 37.08526795],3,"(6, 4)",[47.4683     50.         46.49399146 42.67278046 46.49399149],1,"(6, 6)",[37.70767562 39.85872775  2.27137771 35.11267271 12.03741578],1,"(5, 5)",[41.38280092 42.16923022 42.65596922 26.085155   38.94290217],2,"(7, 5)",[17.0993829  44.86127025  5.15643015 17.00913936  3.5422812 ],1
3,100,0,6,2,"(6, 5)",[45.05456385 42.05657176 43.56906099 46.9348907  37.0822017 ],3,"(6, 4)",[47.687      50.         46.60443496 42.94597685 46.60443499],1,"(6, 6)",[38.21821022 40.11880446  0.82777122 35.00154032  9.50762469],1,"(5, 5)",[41.99002774 42.4440113  43.07132584 23.42795    39.10122048],2,"(7, 5)",[14.4411673  45.28770879  3.5321779  14.3408967   2.23988621],1
3,100,0,6,3,"(6, 5)",[45.31178129 42.25015404 43.80668157 47.094323   37.0372901 ],3,"(6, 4)",[47.93       50.         46.72714995 43.33993931 46.72714999],1,"(6, 6)",[38.74396623 40.51200642 -0.38       34.83655524  6.80546853],1,"(5, 5)",[42.62066069 42.71972378 43.48876969 20.4755     39.38135755],2,"(7, 5)",[11.44235525 45.71629025  2.07325889 11.33094347  1.18901666],1
3,100,0,6,original qtable,"(6, 5)",[47.015      45.54484998 45.54484995 48.5        39.80932079],3,"(6, 4)",[48.49999999 50.         47.01499994 44.08932537 47.01499999],1,"(6, 6)",[39.80950269 41.22192025  0.         35.06441781  0.        ],1,"(5, 5)",[45.54484978 44.0894005  47.015       0.         41.22136689],2,"(7, 5)",[ 0.    47.015  0.     0.     0.   ],1
3,100,0,7,1,"(2, 8)",[ 29.25641444  30.87404754  33.28948977  33.27429438 -39.86125949],2,"(2, 7)",[34.26291992 33.12710283 35.76992535 35.50378574 33.59551829],2,"(2, 9)",[-30.82661606 -18.52414381 -16.02863927 -11.32270353 -32.86755638],3,"(1, 8)",[ 31.686634   -18.11869067  32.86778115  33.17366843 -18.05466836],3,"(3, 8)",[ 33.89712757  33.476189    35.63355501  35.10810363 -15.72335085],2
3,100,0,7,2,"(2, 8)",[ 29.54558827  30.89132758  33.31984208  33.29608012 -38.06398253],2,"(2, 7)",[34.83899738 33.33618382 35.8718134  35.6362033  33.76410668],2,"(2, 9)",[-28.02548984 -18.38391273 -15.8588177   -6.35447591 -30.2932013 ],3,"(1, 8)",[ 32.23864587 -17.89784123  33.21769825  33.38792339 -17.86227335],3,"(3, 8)",[ 34.43943963  33.63839678  35.80665155  35.13645593 -15.51960834],2
3,100,0,7,3,"(2, 8)",[ 29.85483851  30.98697505  33.43403806  33.42111303 -36.59406746],2,"(2, 7)",[35.13546555 33.65882778 35.96924622 35.88534675 33.94114255],2,"(2, 9)",[-25.44018668 -18.24890043 -15.69192327  -1.36128232 -27.95986609],3,"(1, 8)",[ 32.48399536 -17.66930096  33.57183135  33.71631619 -17.66930112],3,"(3, 8)",[ 34.67803534  33.78798772  36.09692448  35.15218236 -15.31502398],2
3,100,0,7,original qtable,"(2, 8)",[ 34.30073814  32.95773075  35.65731125  35.65731125 -16.04226924],2,"(2, 7)",[35.65731125 34.30073814 37.02758712 37.02758711 34.30073814],2,"(2, 9)",[-16.04226924 -17.37184672 -14.69926186  34.30073814 -16.04226924],3,"(1, 8)",[ 32.95773075 -17.3718466   34.30073814  34.30073813 -17.37184679],2,"(3, 8)",[ 35.65731125  34.30073814  37.02758712  37.02758712 -14.69926187],3
