k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
1,50,0,0,0,"(7, 4)",[38.04280803 36.30894283 47.13901904 46.13683185 36.27998172],2,"(7, 3)",[37.52190797 40.11090248 40.11090601 40.11090401 39.97828163],2.0,"(7, 5)",[41.57899859 41.99421269 42.78213588 40.97197965 42.78210151],2.0,"(6, 4)",[42.6071638  42.97340687 42.04329481 40.17699147 43.17673166],4,"(8, 4)",[38.16981541 40.68055199 -8.94857851 27.11551669 42.83930486],4.0
1,50,0,0,1,"(7, 4)",[40.00992313 42.45239258 41.18809453 40.36255087 42.46186534],4,"(7, 3)",[37.52190797 40.11090248 40.11090601 40.11090401 39.97828163],2.0,"(7, 5)",[41.57899859 41.99421269 42.78213588 40.97197965 42.78210151],2.0,"(6, 4)",[42.6071638  42.97340687 42.04329481 40.17699147 43.17673166],4,"(8, 4)",[38.16981541 40.68055199 -8.94857851 27.11551669 42.83930486],4.0
1,50,0,0,original qtable,"(7, 4)",[44.08940149 45.54484996 42.64850722 42.64850714 45.54485   ],4,"(7, 3)",[42.64850664 41.22201201 41.22202078 41.22201565 44.08940149],4.0,"(7, 5)",[45.54484886 47.015      44.08940135 44.08940077 44.08929707],1.0,"(6, 4)",[45.54484579 44.08939925 44.08940136 41.22200616 47.015     ],4,"(8, 4)",[42.64850568 44.08940146 -7.77798489  0.         44.08939869],1.0
1,50,0,6,0,"(6, 5)",[40.57650205 48.90322094 35.45041484 40.64143179 44.05806809],1,"(6, 4)",[47.094323   50.         46.30513308 43.23574195 46.30513311],1.0,"(6, 6)",[34.98299986 39.94965283 -0.74581342 35.95480206 27.45954889],1.0,"(5, 5)",[41.25325535 43.05182958 43.59470519 28.4766395  40.25012804],2,"(7, 5)",[29.57504981 41.525632   -0.74581342 29.27801187 -0.74581342],1.0
1,50,0,6,1,"(6, 5)",[42.39403188 43.06858216 41.67275534 46.54603532 38.06983452],3,"(6, 4)",[47.094323   50.         46.30513308 43.23574195 46.30513311],1.0,"(6, 6)",[34.98299986 39.94965283 -0.74581342 35.95480206 27.45954889],1.0,"(5, 5)",[41.25325535 43.05182958 43.59470519 28.4766395  40.25012804],2,"(7, 5)",[29.57504981 41.525632   -0.74581342 29.27801187 -0.74581342],1.0
1,50,0,6,original qtable,"(6, 5)",[47.015      45.54484998 45.54484995 48.5        39.80932079],3,"(6, 4)",[48.49999999 50.         47.01499994 44.08932537 47.01499999],1.0,"(6, 6)",[39.80950269 41.22192025  0.         35.06441781  0.        ],1.0,"(5, 5)",[45.54484978 44.0894005  47.015       0.         41.22136689],2,"(7, 5)",[ 0.    47.015  0.     0.     0.   ],1.0
1,50,1,5,1,"(5, 7)",[39.25288495 39.97242668 42.58768217 42.2329452  39.98934379],2,"(5, 6)",[42.14839581 41.64409309 44.47378664 42.7151029  41.45977731],2.0,"(5, 8)",[ 37.06348133  38.73585051  41.49985236  39.45641312 -10.26414949],2.0,"(4, 7)",[36.332058   38.58004463 38.93209161 41.3332088  38.58004469],3,"(6, 7)",[39.30263773 41.0483981  41.38301738 44.19538699 41.38301739],3.0
1,50,1,5,original qtable,"(5, 7)",[42.64850748 41.22202241 44.0894015  44.0894015  41.22202241],3,"(5, 6)",[44.0894015  42.64850748 45.54485    45.54485    42.64850748],2.0,"(5, 8)",[41.22202241 39.80980218 42.64850746 42.64850748 -9.19019782],3.0,"(4, 7)",[41.22202241 39.80980195 42.64850748 42.64850748 39.80980218],2,"(6, 7)",[44.0894015  42.64850748 42.64850745 45.54485    42.64850747],3.0
1,50,2,0,0,"(8, 5)",[ 37.01759074  35.06900706 -23.99843875  30.58363509  19.14242177],0,"(8, 4)",[36.49774899 40.05184893 -9.19941692 32.92591313 40.38498413],4.0,"(8, 6)",[  7.34013402  27.52979957 -32.566078    10.84975547  -0.65132156],1.0,"(7, 5)",[39.11163714 39.20662481 39.38687636 39.71239758 42.38530192],4,"(9, 5)",[-37.03620077 -37.03620077 -37.03620077  -6.50776444 -34.3094702 ],3.0
1,50,2,0,1,"(8, 5)",[ 39.00839919  41.15822598 -32.64466792  23.05229066  11.69676757],1,"(8, 4)",[36.49774899 40.05184893 -9.19941692 32.92591313 40.38498413],4.0,"(8, 6)",[  7.34013402  27.52979957 -32.566078    10.84975547  -0.65132156],1.0,"(7, 5)",[39.11163714 39.20662481 39.38687636 39.71239758 42.38530192],4,"(9, 5)",[-37.03620077 -37.03620077 -37.03620077  -6.50776444 -34.3094702 ],3.0
